"","year","variety_id","region","location"
"2157",1997,"garst_seed_co-EX_7346","region3","perry"
"2158",1997,"agratech-AT_345","region3","monmouth"
"2159",1997,"agratech-AT_345","region3","perry"
"2160",1997,"kruger_seed_co-K_3333+","region3","monmouth"
"2161",1997,"kruger_seed_co-K_3333+","region3","perry"
"2162",1997,"agratech-AT_310","region3","monmouth"
"2163",1997,"agratech-AT_310","region3","perry"
"2164",1997,"callahan_seeds-7317","region3","monmouth"
"2347",1997,"kruger_seed_co-K_3132","region3","perry"
"2348",1997,"merschman_seeds-HARRISON_IV","region3","monmouth"
"2349",1997,"merschman_seeds-HARRISON_IV","region3","perry"
"2350",1997,"callahan_seeds-7383","region3","monmouth"
"2351",1997,"callahan_seeds-7383","region3","perry"
"2352",1997,"growmark-E_3971","region3","monmouth"
"2353",1997,"growmark-E_3971","region3","perry"
"2354",1997,"uap_seeds-DG_3395","region3","monmouth"
"2355",1997,"uap_seeds-DG_3395","region3","perry"
"2356",1997,"mavrick-7300","region3","monmouth"
"2357",1997,"mavrick-7300","region3","perry"
"2358",1997,"kruger_seed_co-K_3919","region3","monmouth"
"2359",1997,"kruger_seed_co-K_3919","region3","perry"
"2360",1997,"wilken_seed_grains-WE_457","region3","monmouth"
"2361",1997,"wilken_seed_grains-WE_457","region3","perry"
"2362",1997,"pioneer-93B83","region3","monmouth"
"2363",1997,"pioneer-93B83","region3","perry"
"2364",1997,"wilken_seed_grains-3431_CN","region3","monmouth"
"2365",1997,"wilken_seed_grains-3431_CN","region3","perry"
"2366",1997,"stine_seed_co-3581","region3","monmouth"
"2367",1997,"stine_seed_co-3581","region3","perry"
"2368",1997,"kruger_seed_co-K_3606","region3","monmouth"
"2369",1997,"kruger_seed_co-K_3606","region3","perry"
"2370",1997,"golden_harvest-H_1353","region3","monmouth"
"2371",1997,"golden_harvest-H_1353","region3","perry"
"2372",1997,"dekalb_genetics_corp-CX_348","region3","monmouth"
"2373",1997,"dekalb_genetics_corp-CX_348","region3","perry"
"2374",1997,"agripro_seeds-AP_3880","region3","monmouth"
"2375",1997,"agripro_seeds-AP_3880","region3","perry"
"2376",1997,"growmark-HS_3551","region3","monmouth"
"2377",1997,"growmark-HS_3551","region3","perry"
"2378",1997,"agripro_seeds-AP_3616","region3","monmouth"
"2379",1997,"agripro_seeds-AP_3616","region3","perry"
"2380",1997,"merschman_seeds-MADISON_V","region3","monmouth"
"2381",1997,"merschman_seeds-MADISON_V","region3","perry"
"2382",1997,"pioneer-93B41","region3","monmouth"
"2383",1997,"pioneer-93B41","region3","perry"
"2384",1997,"stine_seed_co-3160","region3","monmouth"
"2385",1997,"stine_seed_co-3160","region3","perry"
"2386",1997,"lewis_hybrids-360","region3","monmouth"
