"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-254",-460.257206125456,238.042599268718,-1.93350773155476,0.0892362515635147
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-255_RR",-368.168155221489,211.36170783849,-1.74188673523977,0.119700605020449
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-266_FG",-414.802528965496,196.95753446793,-2.10605057626286,0.0682916741772281
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-284_RR",-561.156511399864,170.052024555177,-3.29991079416866,0.0108602960113914
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-285_FG",-370.025204665359,176.665646714072,-2.09449438273776,0.0695303985201329
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-286_RRN",-248.657856033538,139.960264518245,-1.77663179538449,0.11353229697271
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-298_RR",-348.474220150749,236.48412378865,-1.4735628530488,0.178823895586433
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agratech-AT_274",-441.867762483709,248.823866942067,-1.77582547813465,0.113671999083306
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2209",310.88656612613,256.06174599027,1.21410781186325,0.259328040187248
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2505",126.716153969834,178.081400785334,0.711563102103976,0.496956664212989
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2512",111.246711885176,171.856946499533,0.64732159014287,0.535553002779807
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2520_STS",74.5301178403846,203.504011549881,0.366234145817398,0.723686455921733
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2535",222.616451224079,192.788340404451,1.1547194750318,0.281529601289379
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2608",-26.2513087846497,321.677319197886,-0.0816075838051259,0.936963559006979
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2008",-99.7169988720331,137.071142724417,-0.727483530742246,0.487671117827952
