"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-254",-951.064324223347,322.290002304953,-2.95095819734254,0.0183987175593452
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-255_RR",-563.918810317433,161.290688349995,-3.49628869518958,0.00812315563736954
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-266_FG",-270.571222696146,223.868006812488,-1.20861942958547,0.261317403400038
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-284_RR",-175.461756632025,397.46395790673,-0.441453251651056,0.670573246668106
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-285_FG",-873.777958612771,96.9548667391207,-9.01221349686211,1.83473263522434e-05
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-286_RRN",-792.756226194772,134.296300998716,-5.90303843292269,0.000360508989262918
"relevel(factor(variety_id), ""public_variety-DWIGHT"")adler_seeds-298_RR",-895.40353424316,294.835252497606,-3.03696225827144,0.0161376437076897
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agratech-AT_274",-116.89063737355,212.409469652145,-0.550308032711431,0.59713411280867
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2209",406.103001775214,204.292282066964,1.98785288247991,0.0820453014415144
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2505",171.376811930355,129.94969510134,1.3187934900248,0.223737309409739
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2512",86.1020380128347,275.469410318508,0.312564788639437,0.762603606011569
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2520_STS",117.335302942034,141.836454233727,0.827257728458736,0.432072724038839
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2535",329.660549894686,157.253317038659,2.09636627133049,0.069328265799069
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-2608",25.5733459859598,251.577156386495,0.101652098915816,0.921534460523852
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2008",-44.6893169080304,175.823511288823,-0.254171450566812,0.805774100909009
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2029_STS",-121.473134919209,149.357021685589,-0.813307158567488,0.439574570490507
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2328",-830.669607443382,207.269062996553,-4.00768737714222,0.00390763861721475
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2505",225.998187692155,322.36796965067,0.701056584303506,0.503145940873649
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2512",-182.235242520374,346.099544731504,-0.526539966013961,0.612795244095476
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2520_STS",-249.74575128558,365.112129552741,-0.684024799700619,0.513282113692175
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2608",76.7133429061126,252.46918376131,0.30385230293547,0.768993221557184
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2828",56.6343586110301,252.500291319589,0.224294230771196,0.828150750618702
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2835",-128.812137830529,470.681750686801,-0.273671408850187,0.791270110387549
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-AGRISOY_2926_N",-569.146406174143,534.193592099253,-1.06543098717739,0.317777400984318
"relevel(factor(variety_id), ""public_variety-DWIGHT"")agrinetics-EXCEL_8200",-299.496770470687,194.867305127665,-1.53692673213947,0.162865826304047
