"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-254",78.2763852069137,196.468392050071,0.398417192659492,0.70074466924994
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-255_RR",170.365593166315,179.341201776503,0.94995233375667,0.369947950436349
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-266_FG",123.731745540938,208.254317858723,0.594137719751272,0.568836259956262
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-284_RR",-22.6225507336106,152.09122861494,-0.148743296636032,0.88543727498477
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-285_FG",168.508496678612,230.280315729068,0.731753802512882,0.48519964438166
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-286_RRN",289.875899674926,142.236007794309,2.03799237738817,0.0759099892082277
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-298_RR",190.059353920685,286.135937411694,0.66422748446039,0.525222764938618
"relevel(factor(variety_id), ""public_variety-JACK"")agratech-AT_274",96.6659600031879,217.367627157503,0.444711851839577,0.668313533353164
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2209",849.419677815524,300.705317281183,2.82475775784586,0.0223296887578655
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2505",665.249547443272,197.541043943546,3.36765228209176,0.00981970174410533
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2512",649.779852559177,203.720787083396,3.18956087820916,0.0128118503231572
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2520_STS",613.063411556603,236.715340619856,2.5898761354091,0.0321192934192798
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2535",761.149698740312,223.430329267772,3.40665343525545,0.00926885990996275
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2608",512.281948343365,358.963731002225,1.42711339363751,0.19139038492776
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2008",438.816893172526,147.604868020929,2.97291613112859,0.0177917506554958
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2029_STS",421.473120137694,167.827318150278,2.51134990884079,0.0362945267646125
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2328",400.57437547681,236.365234503702,1.6947262837443,0.128574769801481
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2505",799.225594957445,147.860341497094,5.40527356331821,0.000641965889695065
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2512",-14.1089709404479,175.135610252855,-0.0805602636726925,0.937770565527404
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2520_STS",-8.80094521865472,84.5358675321794,-0.104109006928977,0.919645565245125
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2608",560.899416077996,141.645842892671,3.95987206276859,0.00417778341640306
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2828",658.436535487202,177.636398843537,3.70665325222651,0.00598506905061927
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2835",139.454032613709,194.533269942034,0.716864691861002,0.493852050171881
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2926_N",-304.528296434985,188.471652231442,-1.61577771951098,0.144805170982936
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8200",462.848722345327,175.208976344264,2.64169526015543,0.029635256695312
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8200_RR",318.102750977414,258.52423388758,1.23045621756195,0.253476492677287
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8235",276.574740230702,191.438891826951,1.44471553084788,0.186539406311459
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8235_RR",530.936627819766,433.488872638292,1.22479874647852,0.255488922781679
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8245_RR",338.571922336879,186.66435547588,1.81380061272934,0.107265086048581
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8254_RR",93.3814164346003,301.380731956564,0.309845343557194,0.764595958108096
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8269_RR",173.835634563567,207.114428145979,0.839321703078278,0.425657288170621
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_N",434.079541643877,155.750572321121,2.78701731348317,0.0236669429394072
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_NRR",12.8087875310961,172.13333443006,0.0744120107444992,0.942509577819601
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_RRN",687.513806173067,291.814712305005,2.35599432510612,0.0462464895795644
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8281_RR",63.1940754668186,284.534834459383,0.22209609444442,0.829803951894186
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8298",390.286242672876,215.498505022593,1.81108561580025,0.107711594005808
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8298_RR",514.941505677387,147.4055803744,3.4933650705046,0.00815805461740617
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2220",109.103973253066,770.845503083294,0.141538055053397,0.890944225490164
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2415_RR",-70.5944935500997,140.332707901653,-0.503050889601399,0.628483355458347
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2502_RR",703.213376638694,274.278952101053,2.56386197793117,0.033445401846388
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2889",359.238420142771,337.0648101457,1.06578441097866,0.317626981489279
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2949_RR",500.826200064301,230.467428888769,2.17308885025144,0.0615216388209538
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2995",182.286195891226,162.562244412287,1.12133168774981,0.294674652520613
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2000",-223.775931801032,135.490681961906,-1.65159646819069,0.137220998809553
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2220",87.1096635388003,231.59661621394,0.376126667836683,0.716601487545519
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2502_RR",577.521032308,172.856633751804,3.34104060557625,0.0102153488278943
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2595",718.063307055383,215.833513981757,3.32693145660445,0.0104319128449049
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2889",566.175222212008,143.033586124015,3.95833760135969,0.00418677838182092
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2995",872.013432150482,266.346366730162,3.27398283241433,0.0112888240665546
"relevel(factor(variety_id), ""public_variety-JACK"")agriprogarst-2547_RR",885.941006210684,482.940286170146,1.83447318764075,0.103922233554494
"relevel(factor(variety_id), ""public_variety-JACK"")agriprogarst-2603_RR",625.075517305384,396.526550094922,1.5763774636421,0.153588933531173
"relevel(factor(variety_id), ""public_variety-JACK"")agrisoy-2008",275.438881012696,249.504527661801,1.10394341775652,0.301713054577211
"relevel(factor(variety_id), ""public_variety-JACK"")agrisoy-2023",122.177150021939,246.204323527598,0.496242910243791,0.633068641977157
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9256",492.093505902493,302.866639674655,1.62478609869713,0.142862412008275
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9263",558.381401565565,178.348039029106,3.13085248711054,0.0139972462941127
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9283",-38.3296498074797,363.313256409122,-0.105500278702512,0.918576181564331
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9285",590.662528958885,145.917525504711,4.04792040514567,0.00369486495632049
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9294",695.667493843231,318.003268374473,2.18761114437362,0.0601445750516637
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9296_RR",726.674586269115,273.825800984271,2.65378420754024,0.0290845485540842
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-24J3_RR",720.999793528021,155.500906377282,4.6366275948174,0.00167354167227743
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-28G9_NRR",452.107666541513,175.865109625844,2.5707638513596,0.0330882264403796
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-28J0_N",219.109809795753,217.057912190898,1.00945322648755,0.342310580354922
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-29G9_NRR",606.956455276177,148.210568437936,4.09523060111833,0.0034604851255308
