"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-254",-465.920658092465,263.321959045616,-1.76939538115677,0.114791866726487
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-255_RR",-78.7751441866201,177.176567634095,-0.44461378408293,0.668381487222476
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-266_FG",214.572443434671,265.460894481917,0.808301515948096,0.442288029500356
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-284_RR",309.681909498795,392.047973011301,0.789908202101247,0.452356853875438
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-285_FG",-388.634292481983,228.675683788247,-1.69949985955593,0.127649458579259
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-286_RRN",-307.612560063825,180.921222139318,-1.70025692081025,0.127503278636298
"relevel(factor(variety_id), ""public_variety-JACK"")adler_seeds-298_RR",-410.259868112324,377.502619124782,-1.08677356746157,0.30879368417657
"relevel(factor(variety_id), ""public_variety-JACK"")agratech-AT_274",368.253028757291,250.461304511803,1.47029909260868,0.17968239378962
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2209",891.246667905964,361.413463719446,2.46600295056471,0.0389524451305671
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2505",656.520478061169,233.118756343397,2.81624905845876,0.0226242051912654
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2512",571.245704143563,366.038680179182,1.56061568100926,0.157236414141444
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2520_STS",602.47896907285,279.953170783726,2.15207053160432,0.0635699103607629
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2535",814.804216025398,283.341272652465,2.87569900564683,0.0206474288133664
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-2608",510.717012116782,398.158649408644,1.28269726872771,0.235511795604378
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2008",440.454349222778,225.202116743011,1.95581798072263,0.0862135744138398
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2029_STS",363.670531211593,225.666053129976,1.6115429244563,0.145726777712209
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2328",-345.525941312505,198.836181118592,-1.73774179009414,0.120457049983458
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2505",711.141853822983,322.882108887092,2.20248144523753,0.0587660629872116
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2512",302.908423610516,316.757696765676,0.956278021665864,0.3669327866606
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2520_STS",235.397914845322,354.146001751659,0.664691719463185,0.52494082535138
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2608",561.857009036926,275.429772143231,2.03992838052651,0.0756822501341763
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2828",541.778024741891,229.411290285471,2.36160140186528,0.0458434837874312
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2835",356.331528300359,442.039611017206,0.806107686775811,0.443480867705421
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-AGRISOY_2926_N",-84.0027400432597,534.473112504993,-0.157169253378438,0.879005750790236
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8200",185.646895660112,157.948900640359,1.17536047992395,0.273643506701297
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8200_RR",-326.045668954317,410.756775058375,-0.79376820725107,0.450231041200072
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8235",-0.627086454867596,207.096492752275,-0.00302799166964989,0.997658161197677
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8235_RR",389.440111037165,589.475837385333,0.660654918044745,0.527395558807934
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8245_RR",643.962613116491,544.570633073414,1.18251439575824,0.27095271922336
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8254_RR",-321.434982188697,435.806550375548,-0.737563448534003,0.481850295481132
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8269_RR",-360.389254598056,239.231426378947,-1.50644612228827,0.170375850397277
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_N",-52.5099981033231,205.427794026838,-0.25561291913821,0.804699120028823
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_NRR",-687.461811107475,218.374248045277,-3.14809011255273,0.0136377124765332
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8274_RRN",326.657422236783,422.540042467959,0.773080393348883,0.461703456316459
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8281_RR",414.734790795255,650.650799024995,0.63741532541993,0.541662737240699
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8298",67.8870393944041,253.267938783528,0.268044347501988,0.795446910436095
"relevel(factor(variety_id), ""public_variety-JACK"")agrinetics-EXCEL_8298_RR",537.67760444744,179.463054626189,2.9960350645284,0.0171751697524682
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2220",448.829999447424,1125.46913685131,0.398793698335525,0.700478142642897
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2415_RR",318.282363819942,375.493892813937,0.847636592528165,0.42127444678703
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2502_RR",1067.14831173259,375.314767380667,2.84334218762628,0.0217001129898853
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2889",615.92657494046,536.473712934212,1.14810205997175,0.284096569769649
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2949_RR",755.148189240371,260.405075773686,2.8998981183326,0.0198948114376665
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-2995",505.416327976154,362.824705436938,1.39300417089156,0.20110659722532
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2000",131.655959955573,269.851735320603,0.487882576701448,0.638722620019308
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2220",443.559396944959,243.723197655459,1.81993097584416,0.106263313230909
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2502_RR",668.813761267795,196.446946802003,3.4045515705667,0.0092976967236299
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2595",740.546724983267,340.209317288077,2.17673851758798,0.0611726627152771
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2889",587.021006354631,202.879233908853,2.89345042883176,0.0200925187245401
"relevel(factor(variety_id), ""public_variety-JACK"")agripro_seeds-AP_2995",841.27935983417,328.768170377092,2.55888323638275,0.0337054884541571
"relevel(factor(variety_id), ""public_variety-JACK"")agriprogarst-2547_RR",668.378002416396,660.650636356679,1.01169659973739,0.341300149006421
"relevel(factor(variety_id), ""public_variety-JACK"")agriprogarst-2603_RR",555.934741382587,565.936108736563,0.982327744776166,0.354709358896907
"relevel(factor(variety_id), ""public_variety-JACK"")agrisoy-2008",957.14010375213,370.202563479721,2.58544969206989,0.0323410965802565
"relevel(factor(variety_id), ""public_variety-JACK"")agrisoy-2023",539.758400457949,278.723313045818,1.93653840634859,0.0888197437279476
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9256",545.200038458455,403.479821922761,1.35124486736495,0.213584666716611
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9263",737.463992846377,251.314375963502,2.93442820379475,0.0188698262516508
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9283",551.38907495372,362.358552607052,1.52166706425626,0.166587622491868
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9285",701.217755715171,185.930552671133,3.7713960704213,0.00545475384842816
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9294",1182.46482518835,289.868765385133,4.07931093789037,0.00353751494715352
"relevel(factor(variety_id), ""public_variety-JACK"")agsource-9296_RR",416.294799056716,444.585475046839,0.936366171235931,0.376485971214621
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-24J3_RR",1004.73710372515,258.927546597336,3.88037934522138,0.00467228117168597
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-28G9_NRR",381.139609910933,278.213464405718,1.36995386159714,0.207913695594175
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-28J0_N",675.57305103858,259.050349697444,2.60788318497779,0.0312328566493624
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-29G9_NRR",633.977260333812,191.789840412561,3.30558312666644,0.0107688527326044
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-6275_NRR",99.1784199392204,221.179282331319,0.448407368420043,0.665755183439252
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-6292_NRR",304.29150133908,312.622963016029,0.97334980899493,0.358887033126255
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-AV_28J6_NRR",583.393481468817,334.440052628669,1.7443887981819,0.119246134240219
"relevel(factor(variety_id), ""public_variety-JACK"")agventure-AV_6273_NRR",714.952426898445,287.975647330937,2.48268363497012,0.0379525621451776
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-A3253",1573.88528817418,189.691125951829,8.29709497625028,3.35557493159021e-05
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2302",1131.12438183881,279.680558508342,4.04434397539675,0.00371326476424662
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2330",957.146899992201,489.263683133837,1.95630072900869,0.0861492715187451
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2402",249.648921421977,224.533214934921,1.11185742160391,0.298493183102259
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2403",889.653826954434,328.668077040994,2.70684587004618,0.026788576880877
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2406",620.254108283193,228.893329588511,2.70979547284425,0.0266665389546753
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2430",412.91620361293,563.585605379283,0.732659244082441,0.484676652836658
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2431",538.556256948341,486.036058395877,1.10805823486801,0.300035474148504
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2433",1104.46041866764,383.535550459769,2.87968199386903,0.0205215534896585
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2531",1058.43499298763,247.8408137972,4.27062426390236,0.00272187322151502
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2601",325.877267634782,381.784555631085,0.853563254008825,0.418169850757406
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2602",688.266611166043,320.177870942439,2.14963829055437,0.0638112295079579
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2603",444.397507306451,215.218186525947,2.06486967704689,0.0728071369928412
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2606",588.567019065717,246.613252881078,2.38659930960619,0.0440892149327366
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2632",1340.81440565121,222.296131328444,6.03165875014775,0.000312202338519532
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2702",304.676017903714,405.265739697842,0.751793176819916,0.473710430291886
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2703",673.408125445149,204.730540096347,3.28924119053387,0.0110345255698539
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2705",316.669829542307,241.954373966692,1.30879977224921,0.226945942912326
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2731",817.014930187171,211.150285251088,3.86935271821028,0.00474568888433832
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2733",906.177579284627,503.024750941363,1.8014572396066,0.109309264309146
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2801",630.82133490851,237.182876656367,2.65964113346365,0.0288215153328521
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2802",264.409791205657,179.088628496149,1.47641865050825,0.178075698681296
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2830",817.137632178307,227.869973889422,3.58598203278347,0.00712599520635109
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2834",1231.92118195663,244.24403128221,5.04381284361138,0.000996887769302009
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2903",286.477330322052,305.125656412937,0.938883126676022,0.37526834361319
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2905",554.169406795624,245.333844922814,2.25883798042612,0.0538198765720642
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2906",468.771927922825,172.026773771418,2.72499400904716,0.0260467001403436
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2931",891.522061221246,233.799406951634,3.81319214126867,0.00513923905968968
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2933",1314.327914441,221.091618836889,5.9447206608526,0.000344007982835114
"relevel(factor(variety_id), ""public_variety-JACK"")asgrow_seed_co-AG_2939",592.646876410101,296.118598470276,2.00138349793517,0.0803438446795629
