"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",32.4523671668152,12.7356249660347,2.54815662783446,0.0342728544387518
"relevel(as.factor(first_year), ""1997"")1996",50.4695901851061,29.050804771373,1.73728716234531,0.120540289938577
"relevel(as.factor(first_year), ""1997"")1998",22.7828155786003,24.0682849765082,0.946590735519273,0.371557744555191
"relevel(as.factor(first_year), ""1997"")1999",17.0352168737322,30.577617452051,0.557113938011858,0.592689954637876
"relevel(as.factor(first_year), ""1997"")2000",34.985618375649,32.5662682584432,1.07429006289594,0.314023736859786
"relevel(as.factor(first_year), ""1997"")2001",1.88716328136887,57.0684755559396,0.0330684018275386,0.974430205368562
"relevel(as.factor(first_year), ""1997"")2002",-19.8408382471853,60.4816730818172,-0.32804711305432,0.751297027155742
"relevel(as.factor(first_year), ""1997"")2003",19.3610811191194,54.9994405668699,0.352023237319652,0.733913870193183
"relevel(as.factor(first_year), ""1997"")2004",76.2592961272027,71.7292338666392,1.06315503479357,0.318747398574095
"relevel(as.factor(first_year), ""1997"")2005",91.5905275895088,65.8641621078121,1.39059732422597,0.201808191824521
"relevel(as.factor(first_year), ""1997"")2006",76.1427006484211,72.6376727367066,1.04825358219308,0.325155622487081
"relevel(as.factor(first_year), ""1997"")2007",145.030738373273,59.2724532529548,2.44684892245527,0.040133481933538
"relevel(as.factor(first_year), ""1997"")2008",205.721656074137,58.7095294478366,3.50405901748746,0.00803117006547348
"relevel(as.factor(first_year), ""1997"")2009",204.077027712201,87.9741150809717,2.31973947705376,0.0489393282986332
"relevel(as.factor(first_year), ""1997"")2010",355.347972297746,79.5360014801328,4.46776259410662,0.00208942358924074
"relevel(as.factor(first_year), ""1997"")2011",407.595450628476,69.9122179739157,5.83010327008293,0.000391518364972465
"relevel(as.factor(first_year), ""1997"")2012",355.504657820505,73.4381160255309,4.84087388212564,0.00128669821501722
"relevel(as.factor(first_year), ""1997"")2013",530.127143536226,62.9188503873528,8.42556944814722,3.00140278912579e-05
"relevel(as.factor(first_year), ""1997"")2014",240.695698154054,72.0871419477625,3.33895465474928,0.0102470651611515
"relevel(as.factor(first_year), ""1997"")2015",471.367089617944,80.3494183250231,5.86646548841471,0.0003757066056868
"relevel(as.factor(first_year), ""1997"")2016",601.32964476721,70.7616899357105,8.49795482998696,2.82030606442157e-05
"relevel(as.factor(first_year), ""1997"")2017",542.642645351404,101.814079885214,5.32974069954942,0.000702748982643613
"relevel(as.factor(first_year), ""1997"")2018",476.822622323307,99.1367135413163,4.8097481275147,0.00133876218071363
"relevel(as.factor(first_year), ""1997"")2019",634.732829709543,71.092324970617,8.92828909410239,1.96529930999794e-05
"relevel(as.factor(first_year), ""1997"")2020",582.449273192329,129.671796535442,4.49171900717156,0.00202414125861023
"yield_kg_j",0.783543257902761,0.030457098702154,25.7261292536491,5.59030293986849e-09
"height",3.09626748695891,3.98800928631985,0.776394252034491,0.459852699342536
"lodging_comb",3.32467646152197,28.7035062976517,0.115828234608187,0.910643393077671
"height_j",-5.80158367087712,5.62284923404202,-1.03178716508225,0.33235290993253
"lodging_comb_j",91.7021376922735,49.9111985199575,1.83730586344476,0.103471936848899
"seed_treated",29.7331656393685,10.159423683255,2.9266586930886,0.0190955729143321
"scn_resist",21.634622500608,36.3772675807654,0.594729179495805,0.568459677675918
"ppt_may",77.3908525914432,61.810182825829,1.25207286329371,0.245908447547684
"ppt_june",-10.1829229494066,33.7810296745546,-0.301439093109612,0.770766388043422
"ppt_july",-24.9179223222522,28.2934500180521,-0.880695790239568,0.404163208090492
"ppt_aug",13.5804608023227,23.2387549664942,0.584388484748994,0.575064087770374
"ppt_sept",14.651295029546,25.4966678359533,0.574635678819408,0.581332618210884
"ppt_may_sqr",-8.45016040082696,5.48313305690819,-1.54111897579808,0.161856536159605
"ppt_june_sqr",1.42741551337559,2.38758089672628,0.597850114872667,0.566474943532789
"ppt_july_sqr",7.39167837931744,3.08693068844174,2.3945074008282,0.0435484139461971
"ppt_aug_sqr",0.686877441811063,2.12869193448706,0.322675832365841,0.755212546703882
"ppt_sept_sqr",-0.087992539832451,1.84497285172406,-0.0476931352947688,0.963129946738891
"tmin_5",-27051.3664338545,201393.74012588,-0.134320790789953,0.896466686381939
"tmin_6",-342162.661563092,176089.112756668,-1.94312218516266,0.0879213576287228
"tmin_7",-352601.648643958,229168.629384292,-1.53861219832441,0.162459367792941
"tmin_8",734476.241877354,161162.193069954,4.55737309034102,0.00185630245825228
"tmin_9",-256381.481473104,185329.883234093,-1.38337906979235,0.20392510332871
"tmax_5",-27134.2175283315,201414.30524004,-0.134718422785282,0.896162269444705
"tmax_6",-342465.859003481,176015.814676838,-1.94565391542937,0.0875782227423608
"tmax_7",-352523.794367123,229157.640357571,-1.53834623980704,0.162523444232423
"tmax_8",734625.059828311,161171.232023239,4.5580408526156,0.00185467497092875
"tmax_9",-256403.941758742,185277.921985122,-1.38388826370436,0.203775140387896
"tmean_5",54196.8140823752,402792.648475459,0.134552639645997,0.896289186575776
"tmean_6",684740.627273189,352093.237556311,1.94477074318611,0.0876977758463348
"tmean_7",705104.091850087,458329.302785672,1.53842245644026,0.162505079303304
"tmean_8",-1469140.61776013,322325.773633687,-4.55793714910852,0.00185492761816196
"tmean_9",512747.421786358,370595.036053507,1.38357876361929,0.203866279973552
