"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",-53.0841808911135,37.0843778614218,-1.43144321011614,0.172808770316149
"relevel(as.factor(first_year), ""1997"")1996",62.3683708812277,18.2878266714463,3.41037631216214,0.00387440571836794
"relevel(as.factor(first_year), ""1997"")1998",-61.414941339922,31.2305896342518,-1.96649957811126,0.0680256418314048
"relevel(as.factor(first_year), ""1997"")1999",-12.0224768780327,54.1684669172439,-0.221946042822296,0.82734931775566
"relevel(as.factor(first_year), ""1997"")2000",7.29072561244459,49.5150622462784,0.147242581988122,0.884901415591162
"relevel(as.factor(first_year), ""1997"")2001",192.778392529221,73.4010738157958,2.626370194706,0.0190701216192513
"relevel(as.factor(first_year), ""1997"")2002",124.849172512497,66.8823179308768,1.86669924690005,0.0816144961728771
"relevel(as.factor(first_year), ""1997"")2003",222.725112202249,64.7840394110481,3.43796271777808,0.00366117208778703
"relevel(as.factor(first_year), ""1997"")2004",220.572400981242,47.2201660171899,4.67114835854125,0.000301406302372525
"relevel(as.factor(first_year), ""1997"")2005",224.438916413366,54.4937004922286,4.11862131560277,0.00091121381303713
"relevel(as.factor(first_year), ""1997"")2006",265.117935835035,51.2340492065675,5.17464342445631,0.000113113711571851
"relevel(as.factor(first_year), ""1997"")2007",230.572302105997,48.012437395696,4.80234527994754,0.000232813888450377
"relevel(as.factor(first_year), ""1997"")2008",221.496962290481,49.1282551123959,4.50854527163115,0.000416151064268535
"relevel(as.factor(first_year), ""1997"")2009",228.900947464593,74.8395554497671,3.05855568073535,0.00796326429479587
"relevel(as.factor(first_year), ""1997"")2010",226.598970051995,61.3253293826773,3.69503062328439,0.00216097236843116
"relevel(as.factor(first_year), ""1997"")2011",283.330099355821,92.9823186384509,3.04713953689961,0.00815088233644555
"relevel(as.factor(first_year), ""1997"")2012",209.451185498163,57.7573046639204,3.62640165978871,0.00248730054628018
"relevel(as.factor(first_year), ""1997"")2013",470.182989205108,68.3511740362483,6.87893069628561,5.24394302469472e-06
"relevel(as.factor(first_year), ""1997"")2014",427.315922994847,87.8018422171657,4.86682183658448,0.000205212712823944
"relevel(as.factor(first_year), ""1997"")2015",466.647174793882,63.4417197406566,7.35552530261615,2.38438092894832e-06
"relevel(as.factor(first_year), ""1997"")2016",480.678562364457,86.5790773126941,5.55190211404552,5.54048892988586e-05
"relevel(as.factor(first_year), ""1997"")2017",440.144727333596,80.7371637966639,5.4515752924155,6.68639079953234e-05
"relevel(as.factor(first_year), ""1997"")2018",686.022688711961,75.7670705456142,9.05436469658615,1.81591850478413e-07
"relevel(as.factor(first_year), ""1997"")2019",635.337447825967,143.965271195432,4.41312993439578,0.000503497223391749
"relevel(as.factor(first_year), ""1997"")2020",724.03025245925,187.959399866285,3.85205663017826,0.00156732591989483
"yield_kg_w",0.692581393002973,0.0627400062701273,11.0389117594452,1.34103955769674e-08
"height",6.84503550856224,4.52835309557244,1.51159491411015,0.151416218858317
"lodging_comb",-101.491008887122,18.1907752726108,-5.57925692369656,5.26487674403262e-05
"height_w",-5.34558827921949,6.34990838600894,-0.841837071381641,0.413100011718798
"lodging_comb_w",127.346637307508,56.2712866238896,2.26308380255595,0.0388971797022811
"seed_treated",7.59157886782038,10.4559662915691,0.726052347160078,0.47898339395403
"scn_resist",72.3588457541381,20.8612921662891,3.4685696924885,0.00343828955285468
"ppt_may",13.635375760647,19.4028810599545,0.702750056474294,0.492974583859785
"ppt_june",79.6664790066095,42.3941609462177,1.87918518089499,0.0797905810072179
"ppt_july",77.6461811668635,17.709695583446,4.38438824659654,0.000533329891735488
"ppt_aug",56.8002906964825,31.4550235040111,1.8057621444549,0.0910605599258034
"ppt_sept",-18.9306565191758,27.1203153679733,-0.698024940430125,0.495840849722788
"ppt_may_sqr",-2.0187051600878,2.28781474427806,-0.882372650642576,0.391496741618691
"ppt_june_sqr",-6.66028490643232,3.6499205663009,-1.82477530276292,0.0880140196622637
"ppt_july_sqr",-6.55548174269254,1.47395859893195,-4.44753451517751,0.000470020650506417
"ppt_aug_sqr",-4.22804307135483,2.78741538061697,-1.51683279813825,0.15009898637549
"ppt_sept_sqr",2.06409899778632,2.10758651953905,0.979366198564299,0.342931662258648
"tmin_5",-66728.8484593555,260648.055161673,-0.256011303893925,0.801419767360578
"tmin_6",357051.652316289,408598.383281111,0.873844995296131,0.395977755672102
"tmin_7",-62714.1665976798,296650.659574728,-0.211407473988379,0.835414780617707
"tmin_8",5163.17922068508,162521.471359075,0.0317692128769714,0.975074969933522
"tmin_9",-177246.081791611,232718.782626693,-0.761632042721424,0.458088011934807
"tmax_5",-66889.4842348646,260644.522918908,-0.25663107548082,0.800950139089744
"tmax_6",356944.906014686,408615.61026922,0.873546915595097,0.396135002779479
"tmax_7",-62542.8389332887,296658.31947725,-0.210824490085082,0.835861521356748
"tmax_8",5115.3662169915,162508.751956145,0.0314774813997215,0.97530377140792
"tmax_9",-177321.757487546,232709.337719826,-0.761988148928666,0.4578817599853
"tmean_5",133640.969437604,521293.9193809,0.256363952213981,0.801152540456493
"tmean_6",-713925.364983226,817226.331430284,-0.873595646060176,0.396109292971471
"tmean_7",125255.498910725,593308.786119565,0.211113507571558,0.835640039861753
"tmean_8",-10314.6593742839,325036.644133012,-0.0317338354319919,0.975102715916275
"tmean_9",354541.687049743,465436.827859593,0.761739651501529,0.458025680311293
