"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.35398642516213,27.1298620184277,0.197346614646455,0.843570689081571
"relevel(as.factor(first_year), ""1997"")1995",93.9001048210601,49.1538050594811,1.91033236811334,0.0561929231889128
"relevel(as.factor(first_year), ""1997"")1996",48.0847587719894,48.7888352237651,0.985568902218171,0.324430225616594
"relevel(as.factor(first_year), ""1997"")1998",1.49912051019305,37.3706921271008,0.0401148714370721,0.968004417901746
"relevel(as.factor(first_year), ""1997"")1999",-323.542529043147,33.650452348974,-9.6148047487692,1.48948949936976e-21
"relevel(as.factor(first_year), ""1997"")2000",108.786962603882,33.2536457493758,3.27142964785819,0.00108308949299585
"relevel(as.factor(first_year), ""1997"")2001",13.9200426545517,33.8368828744679,0.411386672531095,0.68082064535708
"relevel(as.factor(first_year), ""1997"")2002",-126.250317400701,35.3730123446707,-3.56911410796829,0.000364234076251899
"relevel(as.factor(first_year), ""1997"")2003",-305.659347144308,33.6807934598526,-9.07518249261712,2.09071535908766e-19
"relevel(as.factor(first_year), ""1997"")2004",-128.783748277758,35.2299253170104,-3.6555214670176,0.000261398967245581
"relevel(as.factor(first_year), ""1997"")2005",-20.0866760958575,34.9583548348456,-0.574588712505303,0.565615846064391
"relevel(as.factor(first_year), ""1997"")2006",-52.9922271172947,38.1877109441469,-1.38767749642812,0.165346166137501
"relevel(as.factor(first_year), ""1997"")2007",-21.3181183505087,37.5240758528915,-0.568118411072501,0.570000317445681
"relevel(as.factor(first_year), ""1997"")2008",13.5267840218133,37.9289196242447,0.356635099439184,0.72139198535967
"relevel(as.factor(first_year), ""1997"")2009",-115.578802347902,38.0137945038987,-3.04044370882386,0.00238426302004964
"relevel(as.factor(first_year), ""1997"")2010",-121.309213407211,37.8453887890538,-3.20538954120344,0.00136403495403133
"relevel(as.factor(first_year), ""1997"")2011",483.436362633023,40.0546966131901,12.0694051761667,9.8868406789278e-33
"relevel(as.factor(first_year), ""1997"")2012",393.80544854173,39.8157521667859,9.89069469018447,1.07500536711992e-22
"relevel(as.factor(first_year), ""1997"")2013",560.815744649453,46.0009191514073,12.1914030196567,2.40149809089358e-33
"relevel(as.factor(first_year), ""1997"")2014",754.171764308432,43.8748219779189,17.1891697859877,5.0615436247393e-63
"relevel(as.factor(first_year), ""1997"")2015",536.60255587301,42.7144427058136,12.5625554702596,3.00049556031351e-35
"relevel(as.factor(first_year), ""1997"")2016",655.651909290235,42.3639216397029,15.4766575877094,6.75703275129508e-52
"relevel(as.factor(first_year), ""1997"")2017",587.920644833448,43.2729178438549,13.5863416226031,9.3021174045525e-41
"relevel(as.factor(first_year), ""1997"")2018",290.820592578747,45.4807261833648,6.39437003284082,1.88364543360473e-10
"relevel(as.factor(first_year), ""1997"")2019",415.906853500344,41.8677937677109,9.93381346549716,7.08470633185408e-23
"relevel(as.factor(first_year), ""1997"")2020",599.489623418198,47.4487522201417,12.6344655100059,1.26653699645881e-35
