"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",278.356763254025,21.9470487386297,12.6831068071617,7.04988813068724e-36
"relevel(as.factor(first_year), ""1997"")1995",50.0388613959596,40.2029891643529,1.24465524668817,0.213363118573836
"relevel(as.factor(first_year), ""1997"")1996",5.63194218271483,39.5979692944215,0.1422280557076,0.886910148598757
"relevel(as.factor(first_year), ""1997"")1998",79.6187360364371,30.2995116429676,2.62772340936116,0.00864295532448739
"relevel(as.factor(first_year), ""1997"")1999",61.3712574665947,27.2672958471445,2.25072767797111,0.0244804103281768
"relevel(as.factor(first_year), ""1997"")2000",196.692979163485,26.9437637568798,7.30013003893201,3.73173031579139e-13
"relevel(as.factor(first_year), ""1997"")2001",164.254682858479,27.4192918373671,5.99047866854942,2.36092445120315e-09
"relevel(as.factor(first_year), ""1997"")2002",84.9122758859078,28.671504410472,2.96155634773369,0.00308673322700397
"relevel(as.factor(first_year), ""1997"")2003",76.8380690200595,27.2920331735484,2.81540288814142,0.00490583550980309
"relevel(as.factor(first_year), ""1997"")2004",221.06329971957,28.554877062344,7.74170027897237,1.36191336951345e-14
"relevel(as.factor(first_year), ""1997"")2005",210.778238061858,28.3335180877046,7.43918342259536,1.34152813794154e-13
"relevel(as.factor(first_year), ""1997"")2006",180.752207456009,30.9652108071622,5.83726713768089,5.91908759265195e-09
"relevel(as.factor(first_year), ""1997"")2007",288.525337380272,30.4244926480097,9.48332452798178,5.08975100117515e-21
"relevel(as.factor(first_year), ""1997"")2008",391.982900286024,30.7543576868726,12.7456051684455,3.31132227813055e-36
"relevel(as.factor(first_year), ""1997"")2009",365.598756952358,30.823511205696,11.8610353801872,1.07656096750774e-31
"relevel(as.factor(first_year), ""1997"")2010",530.21839335869,30.6862985225786,17.2786689462908,1.24993073976249e-63
"relevel(as.factor(first_year), ""1997"")2011",592.204541591727,32.4861638526205,18.2294389783409,3.09226464030145e-70
"relevel(as.factor(first_year), ""1997"")2012",560.68129100455,32.2915242208714,17.3631101204618,3.32279193241267e-64
"relevel(as.factor(first_year), ""1997"")2013",681.412246278693,37.3284211977176,18.2545155786111,2.05241031017792e-70
"relevel(as.factor(first_year), ""1997"")2014",535.188045768379,35.5973365826106,15.0344968794609,3.5077067729961e-49
"relevel(as.factor(first_year), ""1997"")2015",681.818940038901,34.6524213847027,19.6759393079495,8.22736207227051e-81
"relevel(as.factor(first_year), ""1997"")2016",852.179563870597,34.3669676049196,24.7964724053399,7.88238167448087e-123
"relevel(as.factor(first_year), ""1997"")2017",756.16615957938,35.1072082866574,21.5387721349169,2.60963432875893e-95
"relevel(as.factor(first_year), ""1997"")2018",753.57671160907,36.9049019094948,20.4194205273092,1.75330332243078e-86
"relevel(as.factor(first_year), ""1997"")2019",1146.27628932242,33.9629202988373,33.7508164561946,1.11357672940251e-209
"relevel(as.factor(first_year), ""1997"")2020",1321.82623655016,38.5071047401,34.3268143754691,1.06289600455762e-215
