"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",794.894762993231,21.3932600831422,37.1563174525048,6.18859122467447e-252
"relevel(as.factor(first_year), ""1997"")1995",-102.102829940647,45.3819578294317,-2.24985511476611,0.0245251793636707
"relevel(as.factor(first_year), ""1997"")1996",84.9104082508765,36.7807468365254,2.30855584929438,0.0210310716834276
"relevel(as.factor(first_year), ""1997"")1998",-10.5545549036677,32.9423837397852,-0.320394388792233,0.748690097117672
"relevel(as.factor(first_year), ""1997"")1999",54.4006048385042,27.3158654385686,1.99153876200069,0.0465057433336554
"relevel(as.factor(first_year), ""1997"")2000",17.1680650831051,27.9237669519926,0.614819093448994,0.538717493164714
"relevel(as.factor(first_year), ""1997"")2001",216.855336863002,28.9501481059038,7.49064688960189,8.79442151297652e-14
"relevel(as.factor(first_year), ""1997"")2002",163.960354572977,30.4882685749478,5.37781783737313,8.07580885226581e-08
"relevel(as.factor(first_year), ""1997"")2003",239.691691659632,27.2417386271304,8.79869287861532,2.21078512748604e-18
"relevel(as.factor(first_year), ""1997"")2004",247.417048694065,27.3663502494462,9.04092238968083,2.61526600963528e-19
"relevel(as.factor(first_year), ""1997"")2005",285.284132307498,28.0481787703034,10.1712176980827,6.09188601856438e-24
"relevel(as.factor(first_year), ""1997"")2006",327.835185938094,29.2939278152792,11.1912334872041,1.49772629879172e-28
"relevel(as.factor(first_year), ""1997"")2007",278.924472848808,28.8289632383127,9.67514754322233,7.58570897368579e-22
"relevel(as.factor(first_year), ""1997"")2008",309.065342874198,29.3391594501829,10.5342262241351,1.55084012603003e-25
"relevel(as.factor(first_year), ""1997"")2009",292.405428474642,27.3409992942608,10.6947601046909,2.94603067043598e-26
"relevel(as.factor(first_year), ""1997"")2010",180.375870958125,29.4780854393123,6.11898189010519,1.05477196779958e-09
"relevel(as.factor(first_year), ""1997"")2011",375.159673387144,31.564964326058,11.8853190997411,6.46244168351292e-32
"relevel(as.factor(first_year), ""1997"")2012",241.778060704163,30.4286839305699,7.94572848618217,2.64285059146186e-15
"relevel(as.factor(first_year), ""1997"")2013",482.438913429811,35.0454269973703,13.7661017360699,6.08396589475075e-42
"relevel(as.factor(first_year), ""1997"")2014",519.563994990083,34.7729349618569,14.9416204171435,7.2950842187761e-49
"relevel(as.factor(first_year), ""1997"")2015",542.83268756957,30.8634448056199,17.5882080237111,3.35619947643236e-66
"relevel(as.factor(first_year), ""1997"")2016",474.166986492777,34.5115766553477,13.7393603088053,8.62705603856686e-42
"relevel(as.factor(first_year), ""1997"")2017",531.282787856951,38.5923815220607,13.7665198908041,6.05080228894331e-42
"relevel(as.factor(first_year), ""1997"")2018",822.835021531677,40.9277164249966,20.1045915434737,8.40528933438587e-85
"relevel(as.factor(first_year), ""1997"")2019",727.903067111782,41.8662723791021,17.3863834955395,8.52402072253518e-65
"relevel(as.factor(first_year), ""1997"")2020",1025.06736267784,46.8702845044465,21.8703038292972,5.3937988300082e-99
