"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3570.80788379152,13.0881147942438,272.828282753293,0
"relevel(as.factor(first_year), ""1997"")1995",-24.785936333721,27.8451473638607,-0.890134859400669,0.373459708628494
"relevel(as.factor(first_year), ""1997"")1996",63.8993787800736,22.557882172444,2.83268519143748,0.00464446571936835
"relevel(as.factor(first_year), ""1997"")1998",29.0049612970372,20.1974814670492,1.43606822188978,0.151079678069558
"relevel(as.factor(first_year), ""1997"")1999",79.0362996305283,16.7357590815057,4.72260022659322,2.42755869007787e-06
"relevel(as.factor(first_year), ""1997"")2000",38.1819602562492,17.1098993413655,2.23157129650314,0.0257116015693829
"relevel(as.factor(first_year), ""1997"")2001",172.709689051851,17.7415177209747,9.73477533140624,4.29608322499039e-22
"relevel(as.factor(first_year), ""1997"")2002",33.2937890133721,18.6878833505775,1.78157089215474,0.0749130802695317
"relevel(as.factor(first_year), ""1997"")2003",155.014037351585,16.6901342795735,9.28776454131358,2.80983541338193e-20
"relevel(as.factor(first_year), ""1997"")2004",78.5875387453324,16.7668319857879,4.68708333285295,2.88574879274386e-06
"relevel(as.factor(first_year), ""1997"")2005",119.989446932957,17.18646558773,6.9816243671777,3.52599727248433e-12
"relevel(as.factor(first_year), ""1997"")2006",82.574756170765,17.9530532105063,4.59948261738797,4.39797404112442e-06
"relevel(as.factor(first_year), ""1997"")2007",17.6786428095582,17.6669474786173,1.00066198934225,0.31706513757795
"relevel(as.factor(first_year), ""1997"")2008",35.0911649471735,17.980884520152,1.95158168708804,0.0510741260206175
"relevel(as.factor(first_year), ""1997"")2009",19.5555081813739,16.7512287552645,1.16740738647176,0.243131980657244
"relevel(as.factor(first_year), ""1997"")2010",47.32058543985,18.0663654903514,2.61926426015914,0.00885313598295863
"relevel(as.factor(first_year), ""1997"")2011",76.7925722930826,19.3502397529734,3.96855921546308,7.38797974706279e-05
"relevel(as.factor(first_year), ""1997"")2012",37.5473845674733,18.6512259240245,2.01313225845969,0.0441834554579694
"relevel(as.factor(first_year), ""1997"")2013",238.569671818986,21.4908380563382,11.100994349014,3.97286978801362e-28
"relevel(as.factor(first_year), ""1997"")2014",227.731335793676,21.3232704873671,10.6799440511996,3.43531026083435e-26
"relevel(as.factor(first_year), ""1997"")2015",374.058210652307,18.8788747801838,19.8135860853814,1.48931055079667e-82
"relevel(as.factor(first_year), ""1997"")2016",285.879147273347,21.1625460536384,13.5087312532604,1.70822650168768e-40
"relevel(as.factor(first_year), ""1997"")2017",293.148038908126,23.6717161312787,12.3838946564915,1.90623312244366e-34
"relevel(as.factor(first_year), ""1997"")2018",175.369559959494,25.1073574043882,6.9847876514811,3.44861376042718e-12
"relevel(as.factor(first_year), ""1997"")2019",103.120256666592,25.6842834404759,4.01491662812305,6.08176671473359e-05
"relevel(as.factor(first_year), ""1997"")2020",306.006074512213,28.7598373522998,10.6400488557611,5.19918371126782e-26
