"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-810.872617232223,114.001456221426,-7.11282683667882,1.34859797577765e-11
"relevel(as.factor(first_year), ""1997"")1996",195.942897610296,139.622698838363,1.4033742309847,0.161819632938288
"relevel(as.factor(first_year), ""1997"")1998",199.215881241237,161.222405518623,1.23565878204333,0.217813996025975
"relevel(as.factor(first_year), ""1997"")1999",88.673187373862,161.222405518623,0.550005361156946,0.582835844344251
"relevel(as.factor(first_year), ""1997"")2001",298.798198371018,161.222405518622,1.85332924049756,0.065083287174904
"relevel(as.factor(first_year), ""1997"")2002",223.96348223382,139.622698838362,1.60406211953471,0.110037756583057
"relevel(as.factor(first_year), ""1997"")2004",259.275177228663,161.222405518622,1.60818328193667,0.109131983739151
"relevel(as.factor(first_year), ""1997"")2005",314.264337512909,161.222405518623,1.94925969812928,0.0524491500333655
"relevel(as.factor(first_year), ""1997"")2006",213.420726310568,131.637542874899,1.62127552406072,0.106293811426861
"relevel(as.factor(first_year), ""1997"")2007",-84.7083756218035,139.622698838364,-0.606694873588336,0.544636608292095
"relevel(as.factor(first_year), ""1997"")2008",324.998643308622,139.622698838364,2.32769203011082,0.0207749359834807
"relevel(as.factor(first_year), ""1997"")2009",176.987732236949,121.872683078253,1.45223464164901,0.147764544793681
"relevel(as.factor(first_year), ""1997"")2011",-174.216758591527,161.222405518624,-1.08059892811488,0.280978589353068
"relevel(as.factor(first_year), ""1997"")2012",456.571037655716,127.457502822537,3.58214328340807,0.000413821214845107
"relevel(as.factor(first_year), ""1997"")2013",338.770977858849,161.222405518623,2.10126487549348,0.0366785571051378
"relevel(as.factor(first_year), ""1997"")2014",366.970601929501,131.637542874899,2.78773512415261,0.00574017106951031
"relevel(as.factor(first_year), ""1997"")2015",393.585776082879,115.715860035063,3.40131228306662,0.000787486387244204
"relevel(as.factor(first_year), ""1997"")2016",382.675423026054,115.491734587329,3.31344424251153,0.00106640582786528
"relevel(as.factor(first_year), ""1997"")2017",395.498460724742,115.573964383854,3.42203767806371,0.000732473363493046
"relevel(as.factor(first_year), ""1997"")2018",333.258602392401,115.573964383854,2.88350931084751,0.00429600003905758
"relevel(as.factor(first_year), ""1997"")2019",365.073110833931,115.207854433505,3.1688213675105,0.00173288425679398
"relevel(as.factor(first_year), ""1997"")2020",308.858339723281,115.618578924942,2.67135561252477,0.00808055024428251
