"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1950.64640486228,12.31754853136,158.363200266352,0
"relevel(as.factor(first_year), ""1997"")1995",-22.7503329193913,26.2057568572113,-0.868142562848011,0.385380728525191
"relevel(as.factor(first_year), ""1997"")1996",53.5196426737718,21.2297808196167,2.52097009990412,0.0117509052950026
"relevel(as.factor(first_year), ""1997"")1998",-29.8299121972075,19.0083493377547,-1.56930576491241,0.116674569728405
"relevel(as.factor(first_year), ""1997"")1999",47.3306576799155,15.7504367845442,3.00503778576863,0.00267586909602538
"relevel(as.factor(first_year), ""1997"")2000",-22.6905938051165,16.1025494364278,-1.40913051654944,0.158892752016242
"relevel(as.factor(first_year), ""1997"")2001",104.667600070099,16.6969811148203,6.26865415672037,4.12435088320161e-10
"relevel(as.factor(first_year), ""1997"")2002",53.2949593570813,17.5876292145887,3.03025261147045,0.00246283865928241
"relevel(as.factor(first_year), ""1997"")2003",118.962230924264,15.7074981550419,7.57359509134042,4.70910998676941e-14
"relevel(as.factor(first_year), ""1997"")2004",77.4434832951573,15.779680263267,4.90779800370452,9.66619182732779e-07
"relevel(as.factor(first_year), ""1997"")2005",81.4705440891137,16.1746078245368,5.03694092449792,4.98959606888467e-07
"relevel(as.factor(first_year), ""1997"")2006",103.208011020334,16.8960623957666,6.10840612462421,1.12614580549213e-09
"relevel(as.factor(first_year), ""1997"")2007",71.4310511809048,16.626801215448,4.29613912233087,1.78918734546126e-05
"relevel(as.factor(first_year), ""1997"")2008",68.7497699178083,16.922255129605,4.06268369028029,4.96647469157493e-05
"relevel(as.factor(first_year), ""1997"")2009",74.8053872494186,15.7649956771184,4.74503062236753,2.17511290118402e-06
"relevel(as.factor(first_year), ""1997"")2010",38.7561443372572,17.0027033847962,2.27941071841039,0.0227075456023118
"relevel(as.factor(first_year), ""1997"")2011",110.888998136063,18.2109892064461,6.08912546589242,1.2687428428917e-09
"relevel(as.factor(first_year), ""1997"")2012",37.9881736974365,17.553130003839,2.16418232469811,0.0305233512387615
"relevel(as.factor(first_year), ""1997"")2013",168.971735303858,20.2255592115501,8.35436654860768,9.63856126312202e-17
"relevel(as.factor(first_year), ""1997"")2014",149.219005451819,20.0678572280688,7.43572189875394,1.32490986304706e-13
"relevel(as.factor(first_year), ""1997"")2015",189.840210545373,17.7673759726385,10.6847635147545,3.26725779543573e-26
"relevel(as.factor(first_year), ""1997"")2016",138.897073146447,19.9165954884102,6.97393654589576,3.72123487869389e-12
"relevel(as.factor(first_year), ""1997"")2017",139.837428078803,22.2780375058934,6.27691860388556,3.91356588815656e-10
"relevel(as.factor(first_year), ""1997"")2018",224.631321849038,23.6291550146524,9.50653215105427,3.71516309262792e-21
"relevel(as.factor(first_year), ""1997"")2019",135.357350248367,24.1721143758921,5.5997314981831,2.32636522134333e-08
"relevel(as.factor(first_year), ""1997"")2020",169.789992593429,27.0665942276707,6.27304607167198,4.0109911496224e-10
