"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-6.43920335815747,26.0504678430029,-0.247181870090177,0.80478503938953
"relevel(as.factor(first_year), ""1997"")1995",109.524404730152,38.120161039077,2.87313594026737,0.00409384834388465
"relevel(as.factor(first_year), ""1997"")1996",55.4953426739567,37.9033973794503,1.46412581749319,0.14326837303949
"relevel(as.factor(first_year), ""1997"")1998",-19.7808879253184,35.7409470190028,-0.553451701064363,0.579996971948894
"relevel(as.factor(first_year), ""1997"")1999",-219.32846369573,32.3116286483149,-6.78791112892938,1.37522380850909e-11
"relevel(as.factor(first_year), ""1997"")2000",73.8163242074577,31.9306094763158,2.31177310480748,0.0208602046875717
"relevel(as.factor(first_year), ""1997"")2001",2.00609243468437,32.4906418112296,0.0617436998117721,0.950771209932081
"relevel(as.factor(first_year), ""1997"")2002",-62.4588706259029,33.9656545237506,-1.83888317483263,0.0660349480238572
"relevel(as.factor(first_year), ""1997"")2003",-223.987963485907,32.340762601621,-6.92587142254587,5.31935035625667e-12
"relevel(as.factor(first_year), ""1997"")2004",-75.3271517188028,33.8282603855044,-2.22675215516199,0.0260406497723897
"relevel(as.factor(first_year), ""1997"")2005",0.878240045759832,33.5674946614496,0.0261634076244731,0.979128809363299
"relevel(as.factor(first_year), ""1997"")2006",-13.2250208051335,36.6683669556701,-0.360665660980261,0.718375765956597
"relevel(as.factor(first_year), ""1997"")2007",-11.5799877908509,36.0311353843298,-0.321388367791683,0.747939346029604
"relevel(as.factor(first_year), ""1997"")2008",35.4054116398992,36.419871959544,0.972145417733163,0.331059594760352
"relevel(as.factor(first_year), ""1997"")2009",-47.7128195217205,36.5013699900758,-1.3071514722514,0.191265299365653
"relevel(as.factor(first_year), ""1997"")2010",-38.6582925564213,36.3396644990511,-1.06380433307057,0.287506255028393
"relevel(as.factor(first_year), ""1997"")2011",451.268348481643,38.3452504075606,11.7685591744803,2.89898280118307e-31
"relevel(as.factor(first_year), ""1997"")2012",278.750621931094,38.1201610390756,7.31241984117951,3.38077353002944e-13
"relevel(as.factor(first_year), ""1997"")2013",512.019311678546,43.9172974202793,11.6587163089438,9.98916604724391e-31
"relevel(as.factor(first_year), ""1997"")2014",724.784330595056,41.7390297451336,17.3646664769336,2.52351522414238e-64
"relevel(as.factor(first_year), ""1997"")2015",441.626663151933,41.0149972522456,10.7674434411367,1.55282793336062e-26
"relevel(as.factor(first_year), ""1997"")2016",631.853512757098,40.678422088139,15.532891403409,2.55893312488526e-52
"relevel(as.factor(first_year), ""1997"")2017",468.405730265747,41.5512527855311,11.2729628799268,7.08831692519033e-29
"relevel(as.factor(first_year), ""1997"")2018",100.421300551038,43.4321616897534,2.31214143261788,0.0208398753032155
"relevel(as.factor(first_year), ""1997"")2019",111.967030559108,40.2020332599707,2.78510864948201,0.00538586222437475
"relevel(as.factor(first_year), ""1997"")2020",307.452839141734,45.5609465710461,6.7481661879501,1.80211690869476e-11
