"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",503.809520607496,31.7106844488536,15.8876898863566,1.47790986838337e-54
"relevel(as.factor(first_year), ""1997"")1995",132.925765266495,46.7963948765859,2.84051294158565,0.00453564756054847
"relevel(as.factor(first_year), ""1997"")1996",-3.88112923835261,46.2547871752458,-0.0839076228725937,0.933135694213305
"relevel(as.factor(first_year), ""1997"")1998",-8.048637084367,43.6037051609977,-0.184586081725144,0.853566663809436
"relevel(as.factor(first_year), ""1997"")1999",-309.043002587554,39.3977625274267,-7.84417649028709,6.08390337580752e-15
"relevel(as.factor(first_year), ""1997"")2000",126.188381689045,38.9302999475728,3.2413924850048,0.00120299115248476
"relevel(as.factor(first_year), ""1997"")2001",-94.7141963132002,39.6173773349018,-2.39072353307344,0.0168788973824534
"relevel(as.factor(first_year), ""1997"")2002",-175.268643861008,41.4266646901871,-4.23081716019791,2.40091479994377e-05
"relevel(as.factor(first_year), ""1997"")2003",-339.58053341143,39.4335048069923,-8.61147227651993,1.16640663219365e-17
"relevel(as.factor(first_year), ""1997"")2004",-169.812924945305,41.2581530566331,-4.11586346854186,3.96531623700677e-05
"relevel(as.factor(first_year), ""1997"")2005",-57.5747475171093,40.9383175890824,-1.40637795854277,0.159719509766422
"relevel(as.factor(first_year), ""1997"")2006",-80.8490430957229,44.7407777005486,-1.80705493402122,0.070857742592296
"relevel(as.factor(first_year), ""1997"")2007",-0.358780445354958,43.9595089693926,-0.00816161175969376,0.993488611989693
"relevel(as.factor(first_year), ""1997"")2008",27.1190509231522,44.4361218517291,0.610292928209191,0.541715799985185
"relevel(as.factor(first_year), ""1997"")2009",-149.779078763656,44.5360398607539,-3.36309827348714,0.000780775094955378
"relevel(as.factor(first_year), ""1997"")2010",-78.8247682343547,44.337785045332,-1.77782377161517,0.075538002673998
"relevel(as.factor(first_year), ""1997"")2011",521.310436930297,46.7963948765872,11.1399700405365,2.99153787406112e-28
"relevel(as.factor(first_year), ""1997"")2012",398.426667261721,46.5204918179501,8.5645411665228,1.73694084921938e-17
"relevel(as.factor(first_year), ""1997"")2013",578.508717959154,53.6243437515981,10.788173383323,1.25090211452789e-26
"relevel(as.factor(first_year), ""1997"")2014",795.320768643169,50.9555233221298,15.6081366020975,8.65785376037637e-53
"relevel(as.factor(first_year), ""1997"")2015",553.045277725717,50.068326407135,11.0458111427289,8.21206857500196e-28
"relevel(as.factor(first_year), ""1997"")2016",695.730318552665,49.6558821262101,14.0110353247644,3.35634900243515e-43
"relevel(as.factor(first_year), ""1997"")2017",581.04461303845,50.7254354385637,11.4546993636395,9.67556227696071e-30
"relevel(as.factor(first_year), ""1997"")2018",173.620827597151,53.0299945274715,3.27401179547942,0.00107282841649128
"relevel(as.factor(first_year), ""1997"")2019",314.890351996509,49.072085335207,6.41689363403902,1.61979293644156e-10
"relevel(as.factor(first_year), ""1997"")2020",573.832829174767,55.6378519041152,10.3137128687803,1.61825044120336e-24
