"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",645.716687212232,24.9565176113636,25.8736694465022,9.75633734959504e-135
"relevel(as.factor(first_year), ""1997"")1995",-144.670559704886,41.3857024953938,-3.49566519309387,0.000479012314482634
"relevel(as.factor(first_year), ""1997"")1996",109.599199864433,35.0986708391712,3.12260257280503,0.00180787570447594
"relevel(as.factor(first_year), ""1997"")1998",111.866311396025,38.094470820541,2.93654981908044,0.00334144100429602
"relevel(as.factor(first_year), ""1997"")1999",171.095347791502,31.8655910430615,5.36928210621585,8.44303759983295e-08
"relevel(as.factor(first_year), ""1997"")2000",157.125510857927,32.5747445225587,4.82353777937121,1.47315935873904e-06
"relevel(as.factor(first_year), ""1997"")2001",364.584794194896,33.7720795357362,10.7954499458379,9.89891225655839e-27
"relevel(as.factor(first_year), ""1997"")2002",106.248192455215,35.5663890717718,2.98732019831446,0.00283473745367654
"relevel(as.factor(first_year), ""1997"")2003",296.972285798257,31.779117683325,9.34488769504395,1.62934138139266e-20
"relevel(as.factor(first_year), ""1997"")2004",277.600453379448,31.9244845949042,8.69553438064771,5.31224578039609e-18
"relevel(as.factor(first_year), ""1997"")2005",340.422093965349,32.719878350815,10.4041369077055,5.67267505747557e-25
"relevel(as.factor(first_year), ""1997"")2006",309.277004203575,34.1731191312979,9.05030070609853,2.36059969482613e-19
"relevel(as.factor(first_year), ""1997"")2007",145.87286323327,33.63071013853,4.33748983094315,1.48365597581945e-05
"relevel(as.factor(first_year), ""1997"")2008",207.617083519458,34.2258845391243,6.06608379345541,1.45667742052448e-09
"relevel(as.factor(first_year), ""1997"")2009",185.208603763236,31.8949111892103,5.80683867293192,6.95999348697334e-09
"relevel(as.factor(first_year), ""1997"")2010",290.45440856495,34.2792706334331,8.47317936460599,3.52484655602142e-17
"relevel(as.factor(first_year), ""1997"")2011",282.916890663232,36.7349992666442,7.70156244211836,1.75717263070269e-14
"relevel(as.factor(first_year), ""1997"")2012",166.044344103405,35.4968800198095,4.67771657708345,3.01546006811299e-06
"relevel(as.factor(first_year), ""1997"")2013",606.854812522215,40.5647087167521,14.9601668967883,4.93516799985954e-49
"relevel(as.factor(first_year), ""1997"")2014",599.386185109742,39.6858511054675,15.1032715291109,6.5197530233822e-50
"relevel(as.factor(first_year), ""1997"")2015",863.372448519642,36.0040545875358,23.9798672235802,2.04286480682116e-117
"relevel(as.factor(first_year), ""1997"")2016",771.244641141873,40.2598186180054,19.1566844465849,1.04538470739459e-77
"relevel(as.factor(first_year), ""1997"")2017",904.843559783669,44.7596842143794,20.215593020046,7.65102807666249e-86
"relevel(as.factor(first_year), ""1997"")2018",751.916310769438,47.4032161390667,15.8621370449537,1.07774827064001e-54
"relevel(as.factor(first_year), ""1997"")2019",954.845238772241,48.8395111306356,19.5506715089393,1.07799981271196e-80
"relevel(as.factor(first_year), ""1997"")2020",1463.58251857515,54.6769906100753,26.7677957810915,3.21261743450582e-143
