"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-350_FG",337.196579637119,208.466354859571,1.61751079623503,0.12659909079398
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-364_RR",786.578251523376,208.707074710942,3.76881451006289,0.00185803023968841
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-374_RRN",502.498686721886,322.493850804541,1.55816517266385,0.140039169834437
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-390_RRN",612.043899702916,379.717596013471,1.61183970963832,0.127833862610495
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-395_RRN",999.865007060599,449.872958159013,2.22254969747967,0.0420438732426345
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ_173_6_2",622.110183275195,148.232277464349,4.1968604538564,0.000777820429881738
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ_173_6_8",1226.55839822383,294.725349167588,4.16169970342924,0.000835115854567638
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ095_4",183.449046032946,257.495613739469,0.712435615383172,0.487130001730653
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ173_6_2",728.401892540814,193.114961092711,3.77185635136328,0.00184650430071923
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ173_6_8",286.339573010104,344.022061864236,0.832329099646824,0.418278116878318
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-IN3C21Y",523.425965680525,151.648317058255,3.45157780735182,0.00356029550796394
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-IN3C61Y",767.15075187823,158.145818011809,4.85090760870419,0.000211695658724179
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_310",733.776962180211,250.232553935623,2.93238010258645,0.0102954369020373
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_315",241.353861228583,189.040035222441,1.27673411055275,0.221108061203105
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_324",517.772652131141,338.776870708867,1.5283589196858,0.147234268521995
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_333",626.805762015965,120.993875085519,5.1804751403568,0.000111857004528055
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_335",673.040832321898,230.559734416342,2.91916033832052,0.0105754969578312
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_34_RR",600.552934922554,204.868954467551,2.93140039926194,0.0103159403855261
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_345",922.425418399382,94.5368721917644,9.75730841325359,6.89697486716162e-08
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_350",623.990739644953,139.197684863102,4.48276665131776,0.000438095714220552
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_385_STS",491.403869344336,139.225354757107,3.52955731520054,0.00303384138256262
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_39_RR",410.450007807851,101.321389011302,4.05097099253214,0.00104523410411559
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_396",677.563431306329,79.5188612682024,8.52078891096079,3.92699106641251e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3009",893.42878951552,197.79470459039,4.51694999300264,0.000409242507146279
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3083_RR",1323.39276187725,206.802956778238,6.39929323300911,1.19566904683395e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3385_RR",1162.9482359799,122.684591255641,9.47917113369714,1.00527336425372e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3510_RR",1313.41688876017,128.85972268419,10.1926099280773,3.88542875647291e-08
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3525",792.647192378407,211.889102131649,3.74085870582399,0.00196741803368723
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3611_RR",657.10038783301,163.474931048396,4.01957892637666,0.00111407031988213
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3792_RR",980.277555590795,179.712990308166,5.45468390409535,6.64742363101283e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3009",1407.37884245854,164.828611413052,8.53843777723592,3.8260609099848e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3083_RR",841.382014284828,184.170472406932,4.56849571643473,0.000369368544167245
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3250",644.632704648468,120.638091970073,5.34352536683342,8.19906022864013e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3385_RRN",708.936897057704,141.622476040501,5.00582193503637,0.00015659328579373
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3414",619.85377014887,84.495780871524,7.33591386167978,2.46150859369559e-06
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3510_RR",593.928231564996,158.740283666933,3.74150919883178,0.00196480033074837
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3525",952.025279821136,139.007236192017,6.84874619409065,5.51800911793059e-06
