"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-350_FG",26.4527961146243,140.156215779118,0.188737944782365,0.852828073236634
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-364_RR",937.474001018784,152.845790141709,6.13346301621796,1.91387573155862e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-374_RRN",56.1214950613509,501.180356051072,0.111978640790207,0.91232509104446
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-390_RRN",163.252556331933,511.551683150655,0.319132087155803,0.754027387870245
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")adler_seeds-395_RRN",1015.10065841469,397.398315828951,2.55436577856966,0.0220066364761996
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ_173_6_2",355.398887672759,126.083367397738,2.81876107061474,0.012959514340013
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ_173_6_8",1035.04934917045,170.966514701247,6.05410568835153,2.20659775794034e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ095_4",-162.187214823481,232.238589874701,-0.698364621103602,0.495634471958838
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ173_6_2",629.653577268698,322.460085149293,1.95265586739884,0.069779767015841
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-CLOJ173_6_8",-402.078757308758,611.514797109512,-0.657512719576518,0.520814068131789
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-IN3C21Y",741.273309472861,92.3109762803224,8.03017516813844,8.22053471725613e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")ag_alumni_seed-IN3C61Y",598.916880246482,256.372790185684,2.33611718237611,0.0337768509164055
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_310",695.111774689869,254.147823241745,2.73506877148689,0.0153399130627919
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_315",312.970439362207,207.962155549417,1.50493938926228,0.153103946214924
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_324",514.712459440289,318.053478312783,1.61832048550686,0.126423633428155
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_333",558.804975325878,198.90718768687,2.80937547719782,0.0132074519713757
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_335",629.529044200992,226.702619788745,2.77689355679976,0.014101632862592
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_34_RR",621.470297496325,277.858148729381,2.23664593008428,0.0409235759050216
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_345",780.710791129589,178.201257603042,4.38106218570403,0.000536897016795879
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_350",622.915064389623,126.779138079385,4.91338775311421,0.000187393076590367
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_385_STS",540.835101766812,252.945370807236,2.13814983069593,0.0493704226883994
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_39_RR",454.271654511939,125.400896674662,3.62255507383248,0.00250699349742434
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agratech-AT_396",667.575803437703,105.523102887113,6.32634736065207,1.35910210405641e-05
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3009",937.220098581304,120.664445676913,7.76716035385245,1.23650943883511e-06
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3083_RR",1424.36848778087,177.038269607088,8.04554004590118,8.02894985253619e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3385_RR",1204.73999654781,132.381704394251,9.10050223375223,1.70133629322539e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3510_RR",1482.98515135017,123.522380107429,12.0058012973875,4.29427212378152e-09
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3525",880.182130257862,204.450036965311,4.30512091522488,0.00062532987630422
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3611_RR",653.581146123479,275.0074329813,2.37659447614974,0.0312192349641554
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-3792_RR",868.334516468659,326.927046885163,2.65604979686392,0.0179727281370287
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3009",1285.26525302872,141.894608034613,9.05788648935273,1.80689142334258e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3083_RR",708.442245293751,183.148190030479,3.86813675404521,0.00151670421070476
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3250",701.135454689693,143.673093828836,4.88007487000306,0.000199970105825398
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3385_RRN",444.838710969777,182.104097027156,2.4427715698425,0.0274279561115106
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3414",684.339438944052,142.216365908309,4.81195982314207,0.00022846700150222
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3510_RR",549.800006614279,169.002644295782,3.25320357504015,0.0053480832685476
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3525",764.115681207807,160.655814050394,4.75622800036432,0.000254879057575707
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3616",789.06752558652,66.8387653242918,11.8055371274152,5.40248499189714e-09
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3868",554.206956278912,303.575688667556,1.82559729572358,0.0878843739145879
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agripro_seeds-AP_3880",851.686291278483,106.151709972584,8.02329318574753,8.30790101351907e-07
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9315",955.530261188497,241.503587769127,3.9565882644442,0.00126640957063253
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9323",921.642099536655,124.141501570696,7.42412559760925,2.13395984090015e-06
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9331_RR",213.204520836625,192.514774740828,1.10747095189785,0.285534000043755
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9354",1034.64479856781,201.785489103562,5.12744897150066,0.000123836842443389
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9354_RR",693.379112387686,155.345575653822,4.46346224840571,0.000455302870461638
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9362",853.649555292568,263.028343380047,3.24546603732031,0.00543355163934655
"relevel(factor(variety_id), ""public_variety-WILLIAMS_82"")agsource-9362_RR",897.489762616516,272.670827693143,3.29147701721333,0.00494456139014475
