"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3904.21751766951,18.7242657648533,208.511114224729,0
"relevel(as.factor(first_year), ""1997"")1995",39.956374475305,37.1842892766175,1.0745499040755,0.282587363425695
"relevel(as.factor(first_year), ""1997"")1996",75.6404295326485,31.5938838237145,2.39414786591931,0.0166668482002137
"relevel(as.factor(first_year), ""1997"")1998",97.9015244308234,24.9798921805579,3.9192132505288,8.90910516510107e-05
"relevel(as.factor(first_year), ""1997"")1999",39.3624931795787,23.1795840827489,1.69815355784894,0.0894920700650054
"relevel(as.factor(first_year), ""1997"")2000",194.465167795755,20.2237521466243,9.61568191628649,7.53438911625009e-22
"relevel(as.factor(first_year), ""1997"")2001",-95.2596256291054,26.0243769317799,-3.66039985813372,0.000252375431938684
"relevel(as.factor(first_year), ""1997"")2002",-320.804982612717,26.2550920522536,-12.2187719614253,3.13771374922716e-34
"relevel(as.factor(first_year), ""1997"")2003",-423.982215005696,24.7154405971809,-17.1545481189624,1.46305255776925e-65
"relevel(as.factor(first_year), ""1997"")2004",362.450437471938,26.565392970634,13.6437069789481,3.19251743737685e-42
"relevel(as.factor(first_year), ""1997"")2005",79.9111922224504,26.0806893497776,3.06399846839676,0.00218648197451314
"relevel(as.factor(first_year), ""1997"")2006",157.284472135717,28.4481518989413,5.52881159712771,3.25846829442573e-08
"relevel(as.factor(first_year), ""1997"")2007",171.489021256742,26.7193608030969,6.41815582792179,1.40576032621937e-10
"relevel(as.factor(first_year), ""1997"")2008",386.6678309778,28.1552456330361,13.733420621417,9.38074949901984e-43
"relevel(as.factor(first_year), ""1997"")2009",314.27240175589,27.5929981619683,11.3895706407524,5.6525088086824e-30
"relevel(as.factor(first_year), ""1997"")2010",375.470371768139,28.1868869777534,13.3207463479199,2.45920063536234e-40
"relevel(as.factor(first_year), ""1997"")2011",701.935329643324,28.7248074124141,24.436554771816,2.99272371990652e-130
"relevel(as.factor(first_year), ""1997"")2012",215.157121647374,29.9263646033473,7.18955090266155,6.69562238442015e-13
"relevel(as.factor(first_year), ""1997"")2013",708.456903338968,36.1646713385129,19.5897509120872,9.03147673539311e-85
"relevel(as.factor(first_year), ""1997"")2014",743.181819747868,39.1706273365192,18.972936362829,1.13158189389773e-79
"relevel(as.factor(first_year), ""1997"")2015",1219.86917028229,33.85873062057,36.0282015280629,1.06710388896399e-276
"relevel(as.factor(first_year), ""1997"")2016",1303.54542503869,34.7945277629083,37.4640930298326,2.22384434557111e-298
"relevel(as.factor(first_year), ""1997"")2017",1316.33036949264,35.2590699277774,37.333099602143,2.27095386924242e-296
"relevel(as.factor(first_year), ""1997"")2018",1235.39297146093,36.1646713385118,34.1602156396581,1.25011154426806e-249
"relevel(as.factor(first_year), ""1997"")2019",973.063513580398,39.1166256644625,24.8759573979416,7.62904406022057e-135
"relevel(as.factor(first_year), ""1997"")2020",1286.33531485478,44.2020214052915,29.1012780402117,6.22599818575657e-183
