"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",-71.3606047414782,43.998995913873,-1.62186893721768,0.125657152679643
"relevel(as.factor(first_year), ""1997"")1996",88.69466512231,19.8500441782524,4.46823514979797,0.000450985096207026
"relevel(as.factor(first_year), ""1997"")1998",55.5506891441369,44.8098517962134,1.239698122564,0.234132258651777
"relevel(as.factor(first_year), ""1997"")1999",-17.6753372278294,59.5722272781856,-0.296704320711235,0.77076111386617
"relevel(as.factor(first_year), ""1997"")2000",66.8103929997081,64.7574552684008,1.03170195188799,0.318560660747903
"relevel(as.factor(first_year), ""1997"")2001",233.426041851289,65.996097440592,3.53696734964386,0.00298806627990968
"relevel(as.factor(first_year), ""1997"")2002",164.267441665421,85.4229615205548,1.9229893080433,0.0736771606036928
"relevel(as.factor(first_year), ""1997"")2003",200.36883536769,76.5100100823033,2.61885778282017,0.0193579559656008
"relevel(as.factor(first_year), ""1997"")2004",191.124155491408,44.9173572883841,4.2550178155925,0.000691698200325927
"relevel(as.factor(first_year), ""1997"")2005",142.250493771274,73.4594474582597,1.93644927498402,0.0718851794887009
"relevel(as.factor(first_year), ""1997"")2006",-25.4221751736897,70.068949060002,-0.36281656161162,0.721803552970738
"relevel(as.factor(first_year), ""1997"")2007",-325.771538472999,109.29252424159,-2.9807302991089,0.0093316704135778
"relevel(as.factor(first_year), ""1997"")2008",-159.749142335252,101.468469488088,-1.5743722472724,0.136253450050498
"relevel(as.factor(first_year), ""1997"")2009",-54.9538936745088,80.3446512443256,-0.683977001871546,0.504420027073604
"relevel(as.factor(first_year), ""1997"")2010",-53.3904408980697,110.659946788049,-0.482473039683731,0.636434994636374
"relevel(as.factor(first_year), ""1997"")2011",-67.3488523518915,166.4157363658,-0.404702426721542,0.691408576819239
"relevel(as.factor(first_year), ""1997"")2012",34.5557190259463,103.576168402611,0.333626157048258,0.74327987792218
"relevel(as.factor(first_year), ""1997"")2013",325.76408033254,103.810452665887,3.13806627335503,0.00676956283828837
"relevel(as.factor(first_year), ""1997"")2014",399.442998720033,149.099191829966,2.67904201100943,0.017164693885072
"relevel(as.factor(first_year), ""1997"")2015",580.534484712601,156.981087585704,3.69811735694377,0.00214735281575638
"relevel(as.factor(first_year), ""1997"")2016",497.221590189967,209.822007004207,2.36973040764022,0.0316396784554618
"relevel(as.factor(first_year), ""1997"")2017",803.86642421516,216.430338469963,3.71420397850888,0.00207776126913405
"relevel(as.factor(first_year), ""1997"")2018",684.504981353089,153.986016489491,4.44524117811572,0.000472179545574565
"relevel(as.factor(first_year), ""1997"")2019",632.477284687143,150.280785833851,4.20863706013892,0.00075953903954882
"relevel(as.factor(first_year), ""1997"")2020",1047.37180425796,125.78862321434,8.32644302397104,5.24376843364145e-07
"GETrue",144.304151268973,62.2040144058742,2.31985270801664,0.0348591025042771
"height",10.5105928632784,6.92877192808065,1.51694888681233,0.150069901587859
"lodging_comb",-30.5646781044873,33.3146375697551,-0.917454918742252,0.37342074407541
"scn_resist",46.4695889865954,18.6514110642613,2.4914784638272,0.0249213020884728
"seed_treated",1.58850513960784,12.1671107370934,0.130557301066146,0.897860357529682
"tmin_5",-96406.6627073405,348096.489946883,-0.276953848980355,0.785595652493619
"tmin_6",529705.464438517,376313.739305372,1.40761659517478,0.179629668624709
"tmin_7",-304533.832761201,355196.920828477,-0.85736619577358,0.404733195734147
"tmin_8",167104.94938235,227444.491980482,0.734706512025316,0.473848664719557
"tmin_9",1273.68463700914,332156.693119678,0.00383458970838868,0.99699098106519
"tmax_5",-96724.6591724513,348093.708094387,-0.277869599258094,0.784905881956825
"tmax_6",529544.049706254,376304.910237078,1.40722067477842,0.179744847905221
"tmax_7",-304235.282698698,355227.883680338,-0.856451018277814,0.405223160478311
"tmax_8",167120.421568818,227472.948163084,0.734682620146122,0.473862794306887
"tmax_9",1098.63480265605,332150.456032929,0.00330764201192947,0.997404477438385
"tmean_5",193161.491032198,696203.94110814,0.277449579967538,0.78522222997975
"tmean_6",-1059082.99812502,752612.831027588,-1.40720826760154,0.179748458319465
"tmean_7",608764.129452049,710424.489434628,0.85690194877223,0.4049816939493
