"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3778.2136014949,15.584404795072,242.435540604644,0
"relevel(as.factor(first_year), ""1997"")1995",-100.768061809628,39.5153162381342,-2.55010136328813,0.0107745308749935
"relevel(as.factor(first_year), ""1997"")1996",110.990842402626,26.3365713719184,4.21432390857721,2.51325755036726e-05
"relevel(as.factor(first_year), ""1997"")1998",19.7106046500348,27.061435842618,0.728365071412558,0.46639633712408
"relevel(as.factor(first_year), ""1997"")1999",-31.458759431128,27.2138505965667,-1.15598339601,0.247697985471255
"relevel(as.factor(first_year), ""1997"")2000",67.155509262696,23.0561011142753,2.91270015384849,0.00358606505136056
"relevel(as.factor(first_year), ""1997"")2001",201.953408379769,50.6729705937374,3.98542666856654,6.75325766744715e-05
"relevel(as.factor(first_year), ""1997"")2002",190.662006884653,66.7067661365228,2.8582109121351,0.00426356892490723
"relevel(as.factor(first_year), ""1997"")2003",-129.077909673641,47.6843797780279,-2.70692227254507,0.00679520549284551
"relevel(as.factor(first_year), ""1997"")2004",379.450722874071,43.0869635803218,8.80662481974872,1.36391630907774e-18
"relevel(as.factor(first_year), ""1997"")2005",111.449547519397,58.536211294459,1.90394193704755,0.0569281674721533
"relevel(as.factor(first_year), ""1997"")2006",100.282695791475,53.4837559124871,1.87501221783232,0.0608016256509656
"relevel(as.factor(first_year), ""1997"")2007",-404.388504229702,50.8246640955196,-7.95654061716368,1.83675992391008e-15
"relevel(as.factor(first_year), ""1997"")2008",221.916109585913,67.0856051562347,3.30795420372367,0.00094100672446068
"relevel(as.factor(first_year), ""1997"")2009",248.804325350603,39.7673081991926,6.25650406369861,3.9949764229394e-10
"relevel(as.factor(first_year), ""1997"")2010",112.381302529523,47.9313623643137,2.34462984121632,0.0190530474971207
"relevel(as.factor(first_year), ""1997"")2011",31.3198440115763,65.9693665528084,0.474763449282248,0.634959355695555
"relevel(as.factor(first_year), ""1997"")2012",-166.618426186249,48.9656721647965,-3.4027599095441,0.000668038579046127
"relevel(as.factor(first_year), ""1997"")2013",513.611710989494,69.5143138352769,7.38857485102368,1.52628782498861e-13
"relevel(as.factor(first_year), ""1997"")2014",873.56176704697,51.9317796912764,16.8213331459101,3.52503418368182e-63
"relevel(as.factor(first_year), ""1997"")2015",1113.88910343294,33.0506837558827,33.7024526227746,4.89462063047419e-244
"relevel(as.factor(first_year), ""1997"")2016",1008.22092277693,60.6115422255308,16.6341407223301,7.9096744662728e-62
"relevel(as.factor(first_year), ""1997"")2017",1501.50917628282,198.764812726512,7.55420014079055,4.34526121539356e-14
"relevel(as.factor(first_year), ""1997"")2018",1484.65759081285,96.4568811848367,15.3919302861125,3.09181318414638e-53
"relevel(as.factor(first_year), ""1997"")2019",1196.26665683843,109.646006787442,10.9102619592658,1.17313222315451e-27
"relevel(as.factor(first_year), ""1997"")2020",1569.76867350553,188.629247646452,8.32197918982185,9.04658753457287e-17
"GETrue",123.657805555158,198.15291344158,0.624052421977712,0.532598331977117
"relevel(as.factor(first_year), ""1997"")1998:GETrue",-199.721328264777,202.954511309659,-0.984069420167022,0.325090033851055
"relevel(as.factor(first_year), ""1997"")1999:GETrue",-4.55721344598631,199.907113331651,-0.0227966547564807,0.981812641751638
"relevel(as.factor(first_year), ""1997"")2000:GETrue",-131.839035691288,199.201251511601,-0.661838390526429,0.508080341838945
"relevel(as.factor(first_year), ""1997"")2001:GETrue",-162.040130001049,204.690871868802,-0.791633395869797,0.428581292362916
"relevel(as.factor(first_year), ""1997"")2002:GETrue",-269.554662456398,209.520407195411,-1.2865317801955,0.198268358967244
"relevel(as.factor(first_year), ""1997"")2003:GETrue",17.2290229530168,203.876105079523,0.0845073185319903,0.932653699100861
