"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",39.8843755834175,15.1305149685464,2.63602234731137,0.0298973502371369
"relevel(as.factor(first_year), ""1997"")1996",14.1653491447924,22.1570812437268,0.639314763031028,0.540488029690146
"relevel(as.factor(first_year), ""1997"")1998",-42.3806954389648,30.9309592123686,-1.37017074536821,0.207848726272517
"relevel(as.factor(first_year), ""1997"")1999",-54.8141409220864,30.4060074410187,-1.8027404955555,0.109095044880292
"relevel(as.factor(first_year), ""1997"")2000",-66.0826131135402,17.3306439454367,-3.81305007024509,0.00514027785560259
"relevel(as.factor(first_year), ""1997"")2001",-161.847964383986,86.7520361805272,-1.86563879661784,0.0990687369999143
"relevel(as.factor(first_year), ""1997"")2002",-156.105314608973,85.107695692564,-1.83420915510243,0.103964300025426
"relevel(as.factor(first_year), ""1997"")2003",-47.0313475224914,92.5949654494858,-0.507925536709109,0.625210692177963
"relevel(as.factor(first_year), ""1997"")2004",-31.2333258837271,106.456203393042,-0.293391318572691,0.776690010726931
"relevel(as.factor(first_year), ""1997"")2005",-1.05617688724233,73.227883831894,-0.0144231518374469,0.988845597687672
"relevel(as.factor(first_year), ""1997"")2006",89.316856454507,53.8172342242129,1.65963297337793,0.135570311363994
"relevel(as.factor(first_year), ""1997"")2007",179.760314491869,66.0809200604209,2.7203058663152,0.0262363008733811
"relevel(as.factor(first_year), ""1997"")2008",206.554518228868,83.5201768675062,2.47310920517493,0.038523260508954
"relevel(as.factor(first_year), ""1997"")2009",167.269902965221,97.0618796257721,1.72333261636948,0.123121560937033
"relevel(as.factor(first_year), ""1997"")2010",380.857292735863,118.512926669253,3.2136350307065,0.0123566754124664
"relevel(as.factor(first_year), ""1997"")2011",320.26293414258,121.282216206564,2.64064216634298,0.0296837323418689
"relevel(as.factor(first_year), ""1997"")2012",264.325233031311,123.505330912225,2.14019290567439,0.0647569458064507
"relevel(as.factor(first_year), ""1997"")2013",386.34783498824,139.809531887512,2.76338694345311,0.0245460426122093
"relevel(as.factor(first_year), ""1997"")2014",156.73000971235,92.9942014072559,1.68537400548204,0.130405671995631
"relevel(as.factor(first_year), ""1997"")2015",596.232780571566,76.1584944340106,7.82884148383719,5.10070326856311e-05
"relevel(as.factor(first_year), ""1997"")2016",643.371955375131,112.537659803582,5.71694805541579,0.00044559568465117
"relevel(as.factor(first_year), ""1997"")2017",556.574671388445,123.548454636029,4.50491002115812,0.00198914194225028
"relevel(as.factor(first_year), ""1997"")2018",605.499832905221,147.207113849523,4.11325116749569,0.00337546319680498
"relevel(as.factor(first_year), ""1997"")2019",661.168133284432,144.368990399289,4.57971016806174,0.00180269355160959
"relevel(as.factor(first_year), ""1997"")2020",512.649071588375,127.753567556128,4.01279652220394,0.00387990301545226
"height",3.41645820026923,4.13932942587407,0.825365137385217,0.433085230534763
"lodging_comb",42.8684023963345,39.6222112098605,1.0819285720648,0.310815307091078
"height_d",-8.87374941976827,19.2793076556162,-0.460273241045733,0.657572182095628
"lodging_comb_d",28.8588514894789,71.7257813886674,0.402349767834506,0.697962999435118
"seed_treated",41.725797039469,11.707756853907,3.56394461895105,0.00735829644029104
"scn_resist",18.6832654232662,31.9859967977778,0.584107650025283,0.57524405616679
"tmin_5",68168.7513989854,160662.661445318,0.424297411643381,0.682528618843281
"tmin_6",63957.6621723579,203980.399927835,0.313548077143614,0.761883679886756
"tmin_7",-344470.326260865,237778.931601293,-1.44869994974354,0.185456504180685
"tmin_8",355335.739666924,155182.483582136,2.28979283914379,0.0512814321661908
"tmin_9",-442567.650256175,290098.831952772,-1.5255754298529,0.165627170424781
"tmax_5",68030.5873015195,160582.431056017,0.423649006022259,0.682982376382066
"tmax_6",63658.1671710009,203959.335696466,0.312112053874002,0.762935163775622
"tmax_7",-344586.50145385,237768.793097779,-1.44925032828906,0.185307357195671
"tmax_8",355645.13249518,155165.81085432,2.29203282950703,0.0511024390263697
"tmax_9",-442542.031829192,290072.209817596,-1.52562712611274,0.16561449984679
"tmean_5",-136206.068047627,321240.581345463,-0.424000191623209,0.682736597881607
"tmean_6",-127535.012034876,407938.517134837,-0.312632925497253,0.76255371087887
"tmean_7",689024.680640404,475564.918493676,1.4488551485733,0.185414436146576
"tmean_8",-710964.857989863,310357.549788509,-2.29079285641462,0.0512014456830919
"tmean_9",885061.055063559,580134.942872557,1.52561238714764,0.165618112228411
"ppt_may",-29.5643199917585,49.7337572882875,-0.594451768853609,0.568636287203755
"ppt_june",-64.8171481954196,51.4422430901694,-1.2599984818276,0.243181469208179
"ppt_july",92.0907785261275,26.6287060127657,3.45832720831345,0.00858889682906865
"ppt_aug",16.5860348513629,37.2283043838219,0.445522167229583,0.667752167895069
"ppt_sept",-4.54602892283472,38.8534798335795,-0.117004421284957,0.909740635204611
"ppt_may_sqr",-0.835770373291277,3.80624151225898,-0.219578912846035,0.831698212833934
"ppt_june_sqr",4.08891406682127,3.93031980038654,1.04035149160614,0.32859429508252
"ppt_july_sqr",-4.37342768868812,2.43291445254968,-1.79760849548359,0.109954133300971
"ppt_aug_sqr",0.153535179568324,2.67676133474678,0.057358561473262,0.955666347541225
"ppt_sept_sqr",-0.441615847617871,3.20726519289956,-0.13769233944095,0.893886098495863
