"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",56.5398048526554,24.0975107258432,2.34629234097694,0.0469522209399717
"relevel(as.factor(first_year), ""1997"")1996",10.3121612564571,21.5448499539258,0.478636949364228,0.645004701027148
"relevel(as.factor(first_year), ""1997"")1998",0.385450899925575,34.2992348315865,0.011237886262425,0.991308846570026
"relevel(as.factor(first_year), ""1997"")1999",-107.108984226651,34.1063720880098,-3.14043909303112,0.0137960838979225
"relevel(as.factor(first_year), ""1997"")2000",-58.2822354602169,16.0767912813122,-3.62524053714403,0.00673127978108626
"relevel(as.factor(first_year), ""1997"")2001",-60.6881743930075,68.9262098232617,-0.880480365141535,0.40427308217927
"relevel(as.factor(first_year), ""1997"")2002",45.2869399600579,85.2921757721112,0.530962418886561,0.609864795452757
"relevel(as.factor(first_year), ""1997"")2003",-51.5274411005549,72.8671070750477,-0.707142676152705,0.499554761878894
"relevel(as.factor(first_year), ""1997"")2004",-51.2416424791174,69.7941229687673,-0.734182769257634,0.483797475700991
"relevel(as.factor(first_year), ""1997"")2005",-37.3063411276258,64.5233566018749,-0.578183515123294,0.579047852909455
"relevel(as.factor(first_year), ""1997"")2006",-45.4613552959388,55.6239160985136,-0.81729871761319,0.437419034023754
"relevel(as.factor(first_year), ""1997"")2007",-123.125934707456,74.2565829456007,-1.65811473977541,0.135880745891882
"relevel(as.factor(first_year), ""1997"")2008",-196.975185451314,72.9127995349668,-2.70151724673321,0.0270105009270241
"relevel(as.factor(first_year), ""1997"")2009",52.3259971623245,87.093370286181,0.600803447959195,0.564600463319864
"relevel(as.factor(first_year), ""1997"")2010",54.7166571928524,74.547903156968,0.733979828750395,0.48391452632089
"relevel(as.factor(first_year), ""1997"")2011",-56.704487085506,158.168103202624,-0.358507726509584,0.729239898919953
"relevel(as.factor(first_year), ""1997"")2012",227.501326607022,106.554501532345,2.13507006588514,0.0652756188901997
"relevel(as.factor(first_year), ""1997"")2013",174.889437848334,122.671243245041,1.42567592226146,0.191791396243356
"relevel(as.factor(first_year), ""1997"")2014",58.4591962332022,131.227107426906,0.445481100509391,0.66778061250411
"relevel(as.factor(first_year), ""1997"")2015",516.293170332356,83.0346276611158,6.21780556949652,0.000254448324876952
"relevel(as.factor(first_year), ""1997"")2016",583.658356286238,86.2321780790449,6.76845197799858,0.000142337621979255
"relevel(as.factor(first_year), ""1997"")2017",579.006486652875,146.919692130708,3.94097263788002,0.0042900330049772
"relevel(as.factor(first_year), ""1997"")2018",515.249366327151,128.937706323977,3.99611084311135,0.00397127488066952
"relevel(as.factor(first_year), ""1997"")2019",411.670764599181,132.78868482704,3.10019460720911,0.014661444645641
"relevel(as.factor(first_year), ""1997"")2020",250.625169665154,182.485650576537,1.37339658692801,0.206884473593483
"GETrue",-132.249509044945,140.765483103315,-0.939502398808099,0.374969204766689
"height",1.32709126500122,4.10478408315999,0.32330354973984,0.754754566217659
"lodging_comb",64.8338595285065,41.3466766272359,1.56805491558659,0.155505209786569
"height_d",-7.05506769711716,19.2070837422447,-0.367315923218475,0.722910295914907
"lodging_comb_d",17.089001605208,73.2049347930366,0.233440568638189,0.821281736125458
