"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",24.8150988146038,15.2133980419269,1.63113452669912,0.141507674075616
"relevel(as.factor(first_year), ""1997"")1996",43.859854637603,27.6108830382502,1.58849880233249,0.150836318139054
"relevel(as.factor(first_year), ""1997"")1998",15.8985138134222,15.852006939585,1.00293381614167,0.345259948155249
"relevel(as.factor(first_year), ""1997"")1999",21.3741997258804,24.3448216803098,0.877977255556075,0.405551319935124
"relevel(as.factor(first_year), ""1997"")2000",27.9324081826432,30.0240898209167,0.930333220732096,0.379416392173654
"relevel(as.factor(first_year), ""1997"")2001",17.0349829142726,56.4537472785893,0.301751145591947,0.770537018632689
"relevel(as.factor(first_year), ""1997"")2002",27.9286752950437,64.0087473039931,0.436325915931515,0.674136082040592
"relevel(as.factor(first_year), ""1997"")2003",88.6643877833428,55.3843284018185,1.60089307466319,0.148068205123332
"relevel(as.factor(first_year), ""1997"")2004",142.168166919178,75.6160725212839,1.88013159344083,0.0968859116262065
"relevel(as.factor(first_year), ""1997"")2005",128.01578855856,69.9444778193668,1.83024868509511,0.104597233578972
"relevel(as.factor(first_year), ""1997"")2006",126.01918870101,79.4914227531678,1.58531806748908,0.151554252530864
"relevel(as.factor(first_year), ""1997"")2007",209.233203317627,63.3325709923639,3.30372192442423,0.0107987672094899
"relevel(as.factor(first_year), ""1997"")2008",284.783982920987,74.1859363259651,3.83878666260511,0.00495571383995242
"relevel(as.factor(first_year), ""1997"")2009",299.945936101035,106.948687454905,2.80457800127288,0.0230347221217098
"relevel(as.factor(first_year), ""1997"")2010",467.195500609757,101.041745571012,4.6237869107419,0.0017017749192274
"relevel(as.factor(first_year), ""1997"")2011",427.339693241687,87.9383024675155,4.85953994164882,0.00125653648417921
"relevel(as.factor(first_year), ""1997"")2012",361.488181472208,97.8840691751887,3.69302364029464,0.0061035748280256
"relevel(as.factor(first_year), ""1997"")2013",479.61270117936,107.927174413973,4.44385488440313,0.00215685442302543
"relevel(as.factor(first_year), ""1997"")2014",179.853743398915,94.9874567283487,1.8934472991868,0.094920867826194
"relevel(as.factor(first_year), ""1997"")2015",451.581342889912,81.3526479420027,5.55091142468835,0.000540395759337252
"relevel(as.factor(first_year), ""1997"")2016",591.064102378309,73.4265320809709,8.04973468890666,4.17617755118287e-05
"relevel(as.factor(first_year), ""1997"")2017",544.981309520806,109.449300207753,4.9793037368566,0.00108043375772851
"relevel(as.factor(first_year), ""1997"")2018",543.80880415869,97.6457425612294,5.56920137934013,0.000528939479142438
"relevel(as.factor(first_year), ""1997"")2019",726.59965960512,109.115561945416,6.6589920507269,0.000159316122092564
"relevel(as.factor(first_year), ""1997"")2020",652.081618328803,156.704022561023,4.16123088400537,0.00315987443116024
"height",2.44554097931641,3.93587808238198,0.621345714508609,0.55166175022864
"lodging_comb",15.68156139667,34.0879375790989,0.460032566073613,0.65773767539614
"height_j",-13.7321582168397,5.93931950133118,-2.31207602382089,0.049528313536838
"lodging_comb_j",106.371293476793,52.4871012703,2.02661779565609,0.0772615391002408
"seed_treated",29.3296012314718,9.45985217224505,3.10042912906441,0.0146562403777106
"scn_resist",24.123174927989,36.3695559272502,0.663279336603461,0.525798882886051
"tmin_5",-93043.9243717989,235953.872991205,-0.394330990173097,0.703640102889616
"tmin_6",-239646.971101856,193329.851584954,-1.23957562237381,0.250260397263557
"tmin_7",-386436.686148931,270584.780137926,-1.42815381542137,0.191100598329889
"tmin_8",773975.867668655,215518.552558202,3.59122617742914,0.00707187287964382
"tmin_9",-274613.305545562,156692.780592676,-1.75255876184507,0.117773367832831
"tmax_5",-93165.0807210621,235951.995863764,-0.394847606098888,0.70327374965179
"tmax_6",-239856.436161265,193324.634601628,-1.24069256179132,0.249868841582439
"tmax_7",-386361.133122035,270576.607040796,-1.42791772484523,0.191166322318491
"tmax_8",774130.564491861,215529.861132706,3.59175550164352,0.00706643432988361
"tmax_9",-274585.429182695,156667.484728703,-1.75266380039347,0.117754544270926
"tmean_5",186224.656574153,471892.327663267,0.394633787534344,0.703425367043495
"tmean_6",479564.303031359,386647.883334644,1.2403127592355,0.250001928219781
"tmean_7",772798.089654108,541172.398845154,1.42800721415807,0.191141407531105
"tmean_8",-1548109.25246469,431044.284447467,-3.59153179457912,0.00706873226832926
"tmean_9",549154.600714625,313345.861492903,1.75255099300893,0.117774760168519
"ppt_may",94.2103502272275,64.6544089812088,1.45713728903792,0.183181685289642
"ppt_june",-25.2676389664492,37.4269593315125,-0.675118668942323,0.51863280585319
"ppt_july",-52.7803629389224,28.5674825030931,-1.84756787488039,0.101856081137793
"ppt_aug",-8.79563165530179,26.6625296385151,-0.329887365323211,0.749957286952596
"ppt_sept",12.4735305475931,32.8250534061016,0.380000312361244,0.713835094434456
"ppt_may_sqr",-10.2057245000161,5.99221554918608,-1.70316378245145,0.126943439428639
"ppt_june_sqr",3.88050760127275,2.89528993713642,1.34028290275853,0.216968996670709
"ppt_july_sqr",9.03136126507211,2.94471007094929,3.06697808866483,0.0154184385853265
"ppt_aug_sqr",3.70542297793915,2.40061236336315,1.54353240635152,0.161278058308277
"ppt_sept_sqr",0.827874778714338,2.49120997521224,0.332318346085543,0.748188868788887
