"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(first_year), ""1997"")1995",-50.4062837165086,36.2847821440708,-1.38918523794266,0.185056056410846
"relevel(as.factor(first_year), ""1997"")1996",57.6288485577619,20.9303829196719,2.75335854001974,0.0147859660879812
"relevel(as.factor(first_year), ""1997"")1998",-81.039179263931,32.4237701276678,-2.49937557985519,0.0245360234861034
"relevel(as.factor(first_year), ""1997"")1999",-23.4239418960664,57.6607766203968,-0.406237017067516,0.690304939203285
"relevel(as.factor(first_year), ""1997"")2000",0.826894525825891,56.7660171128566,0.0145667173404458,0.988569835933107
"relevel(as.factor(first_year), ""1997"")2001",194.34163976858,73.6142062293855,2.64000183827292,0.0185583140153936
"relevel(as.factor(first_year), ""1997"")2002",159.563339446495,74.0253999265054,2.15552147782942,0.0477720936974272
"relevel(as.factor(first_year), ""1997"")2003",246.246473324352,71.2003024296563,3.45850319340478,0.00351005527096113
"relevel(as.factor(first_year), ""1997"")2004",253.077285009211,54.4085727209047,4.65142297165928,0.000313388968532948
"relevel(as.factor(first_year), ""1997"")2005",256.451033180417,64.1639005802399,3.99681177206041,0.00116685948542289
"relevel(as.factor(first_year), ""1997"")2006",323.47426067097,61.1032141150432,5.29389927118961,9.00876778997768e-05
"relevel(as.factor(first_year), ""1997"")2007",307.611017942191,49.5959901083568,6.20233646450299,1.69268160237099e-05
"relevel(as.factor(first_year), ""1997"")2008",295.740958333079,53.8252290491508,5.49446725183503,6.16902276851972e-05
"relevel(as.factor(first_year), ""1997"")2009",289.267938284581,65.5512641418935,4.41285064554096,0.000503778743040178
"relevel(as.factor(first_year), ""1997"")2010",264.21247095235,56.9052383745195,4.64302546653871,0.00031863774568311
"relevel(as.factor(first_year), ""1997"")2011",355.095047097932,59.48981883164,5.96900535372067,2.57290433281009e-05
"relevel(as.factor(first_year), ""1997"")2012",245.934013347417,51.5877481377183,4.76729499203713,0.000249394926319485
"relevel(as.factor(first_year), ""1997"")2013",458.4794008761,64.558213490256,7.10179814602986,3.6137347161446e-06
"relevel(as.factor(first_year), ""1997"")2014",443.322653033502,89.826905585993,4.93529917502391,0.000179567779634148
"relevel(as.factor(first_year), ""1997"")2015",408.934955256932,77.7013002903921,5.26291006364918,9.55600252818484e-05
"relevel(as.factor(first_year), ""1997"")2016",425.01916732364,106.133422343304,4.00457422308359,0.00114858160345332
"relevel(as.factor(first_year), ""1997"")2017",394.204753203307,95.0788801581082,4.14608115438232,0.000861928605034207
"relevel(as.factor(first_year), ""1997"")2018",765.915423062274,116.033657711089,6.60080392336953,8.42475002266498e-06
"relevel(as.factor(first_year), ""1997"")2019",649.981714938203,202.952151391557,3.20263525408109,0.00593175738780263
"relevel(as.factor(first_year), ""1997"")2020",679.781403631537,252.061333797507,2.69688886188962,0.0165617733648036
"height",8.33976680832029,4.57481918063915,1.82297189878336,0.0882990501327121
"lodging_comb",-101.414848128241,24.7079763091373,-4.10453882824621,0.000937592434338428
"height_w",-22.1392460270121,6.58283481292575,-3.36317812252261,0.00426837520872238
"lodging_comb_w",160.138533289358,49.1817415898573,3.25605657938684,0.00531690710419243
"seed_treated",6.03276236621229,10.2868590111298,0.586453295382506,0.566292578406244
"scn_resist",73.0143210862567,21.5680171552514,3.38530522118391,0.00407893397060045
"tmin_5",-52240.1385817875,283324.388280824,-0.184382780807448,0.856182814594439
"tmin_6",262340.904432018,485162.645286435,0.54072774765488,0.596634131330725
"tmin_7",95610.0359528806,343682.119849762,0.278193221092432,0.78466216480644
"tmin_8",-25839.247932929,215357.217700403,-0.119983199118386,0.906088762251629
"tmin_9",-312507.215581377,245826.470883887,-1.27125127923667,0.222999338781634
"tmax_5",-52341.0258017552,283331.007151009,-0.184734548922345,0.855911743616472
"tmax_6",262258.728958358,485186.401277431,0.540531903342439,0.596765826583597
"tmax_7",95699.1810401435,343663.565774996,0.278467636871346,0.784455522604562
"tmax_8",-25933.6830986929,215325.334788702,-0.120439534549623,0.905733420851626
"tmax_9",-312505.097538196,245816.845313244,-1.27129244189905,0.222985092511203
"tmean_5",104606.040313143,566652.083860563,0.184603645327604,0.856012615168514
"tmean_6",-524570.947619182,970368.786207093,-0.540589263664989,0.596727253198684
"tmean_7",-191304.932283439,687344.51412209,-0.278324665946861,0.784563181330535
"tmean_8",51813.521704612,430691.566662982,0.120303079315124,0.905839674271894
"tmean_9",624956.364968137,491662.255339334,1.27110909609444,0.223048553450822
"ppt_may",-19.6398148258983,27.2831716095737,-0.719850870234113,0.482683405955213
"ppt_june",60.8204966388239,51.5137708811623,1.18066481250482,0.256119692484142
"ppt_july",48.3517026757533,32.6050135675301,1.48295299971611,0.158791710971913
"ppt_aug",48.7206898216972,32.4340844253365,1.50214475558429,0.153817303964444
"ppt_sept",-29.1420910945069,23.881202276365,-1.22029413583371,0.24119133170957
"ppt_may_sqr",0.407466392567299,2.93247029790847,0.138949878830117,0.891338102195145
"ppt_june_sqr",-6.10594552075272,4.26603779070052,-1.43129194356013,0.172851391640403
"ppt_july_sqr",-3.6505261154095,3.13778571788944,-1.16340835341202,0.262837435483299
"ppt_aug_sqr",-4.54621377983281,2.70808960772835,-1.67875308367154,0.113904911274455
"ppt_sept_sqr",3.09761661937176,1.71205987884746,1.809292220233,0.0904879557985679
