"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",2127.04181920795,680.328893205667,3.12649049665591,0.0140897922088377
"relevel(as.factor(year), ""1997"")1999",959.379120783386,470.601182150351,2.03862454488454,0.075835551864717
"relevel(as.factor(year), ""1997"")2000",984.621007025844,665.16509096484,1.48026560683999,0.17707222526411
"relevel(as.factor(year), ""1997"")2001",578.670513541657,687.186758145586,0.84208624028675,0.424196555800647
"relevel(as.factor(year), ""1997"")2002",519.902682771572,376.039397443708,1.38257503417418,0.204162095587294
"relevel(as.factor(year), ""1997"")2003",-86.8829688519459,589.844682179283,-0.147298045531142,0.886541356696458
"relevel(as.factor(year), ""1997"")2004",820.87794080465,621.866068593077,1.32002368719332,0.223345026752104
"relevel(as.factor(year), ""1997"")2005",1095.03785218711,308.646120637472,3.54787499005477,0.00753276067183761
"relevel(as.factor(year), ""1997"")2006",479.384837379508,711.148329813027,0.674099645998672,0.519247215704161
"relevel(as.factor(year), ""1997"")2007",2134.56053116907,916.211309834807,2.3297688079772,0.0481790737392099
"relevel(as.factor(year), ""1997"")2008",525.180424748644,139.390478701802,3.76769223866547,0.00548369651860922
"relevel(as.factor(year), ""1997"")2009",401.639249290521,476.733495484825,0.842481707483264,0.423987884886893
"relevel(as.factor(year), ""1997"")2010",1995.83966244554,902.737564721278,2.2108747220038,0.0580018300564408
"relevel(as.factor(year), ""1997"")2011",1020.7676544566,662.707475595157,1.54029898869011,0.162053505038913
"relevel(as.factor(year), ""1997"")2012",1424.48129435563,533.107457386158,2.67203407984557,0.0282729510259024
"relevel(as.factor(year), ""1997"")2013",1728.73691376966,473.260010263073,3.6528269371602,0.00646788584631563
"relevel(as.factor(year), ""1997"")2014",755.039606259734,713.472180777135,1.05826075157874,0.320841162187627
"relevel(as.factor(year), ""1997"")2015",2496.94382692895,452.538753314315,5.51763535971619,0.000561943751704989
"relevel(as.factor(year), ""1997"")2016",2236.35672406503,533.871851573266,4.18893919481747,0.00304217103550624
"relevel(as.factor(year), ""1997"")2017",1178.36925552467,134.492635327143,8.76158945549973,2.25649455494159e-05
"relevel(as.factor(year), ""1997"")2018",3062.02032224268,809.244393779171,3.78380171154853,0.00535899678515449
"relevel(as.factor(year), ""1997"")2019",2902.01469138405,629.69425182306,4.60860915115912,0.00173581583049823
"relevel(as.factor(year), ""1997"")2020",1788.96829745029,719.956951881832,2.48482675634184,0.0378259943904099
"height",-0.154663418177732,3.46819919308566,-0.0445947333377148,0.965523375700748
"lodging_comb",6.0842314135409,31.5007507896267,0.193145600058029,0.851658451028817
"height_d",-19.7347951501864,16.1931930656417,-1.21870931015201,0.257669819931748
"lodging_comb_d",2.18562380675305,75.0394473734435,0.0291263313264556,0.977477334879722
"seed_treated",22.4975301546198,8.309579936617,2.70742087159932,0.0267647416415437
"scn_resist",18.1259930121774,30.7958625419898,0.588585333093456,0.572378406178814
"tmin_5",219938.055767267,220101.213048048,0.99925871703058,0.346931075410402
"tmin_6",441415.927699113,270201.202757234,1.63365641305346,0.140972787062305
"tmin_7",-375641.184562458,149740.702461043,-2.50861107493592,0.036449715996037
"tmin_8",387604.023095642,260721.876234604,1.48665707954198,0.175416138498684
"tmin_9",-177263.765375043,193626.736617426,-0.915492191170303,0.386696489821556
"tmax_5",219806.885788709,220069.978427569,0.998804504636483,0.347138040028437
"tmax_6",441490.276583337,270317.100981765,1.63323102748545,0.141062880235335
"tmax_7",-375705.063478163,149736.330611635,-2.50911092814618,0.0364213429429814
"tmax_8",387884.643763732,260750.216355021,1.48757170439166,0.175180282827368
"tmax_9",-177347.283328077,193655.397003078,-0.915787972205385,0.386550407516106
"tmean_5",-439933.324878019,440151.661404078,-0.99950395160304,0.346819371845958
"tmean_6",-882909.327877642,540529.754564988,-1.63341484982302,0.141023941692558
"tmean_7",751242.57160882,299537.45307548,2.50800881123709,0.0364839319229606
"tmean_8",-775563.647549234,521423.195848671,-1.48739767184105,0.175225139081029
"tmean_9",354331.666006736,387221.660335426,0.915061584364368,0.386909232794288
"ppt_may",33.7054089424658,53.5322690923766,0.629627877053053,0.546494792259013
"ppt_june",-58.4350297795883,42.8200870514807,-1.364663965053,0.209503782426836
"ppt_july",115.535986060141,26.8715334006319,4.29956803497579,0.00261728293133513
"ppt_aug",-32.4748608960153,32.0406897135489,-1.01355061911426,0.340466809816045
"ppt_sept",-16.5102873519197,37.6763112509137,-0.438214007787701,0.672823078209001
"ppt_may_sqr",-6.43931926584812,3.8391981489513,-1.67725629572078,0.132014424165862
"ppt_june_sqr",3.10764802316938,2.81334278306155,1.10461051595979,0.301440577502359
"ppt_july_sqr",-8.13875749499854,2.4889825873438,-3.26991339207563,0.0113576839717937
"ppt_aug_sqr",4.04010631120836,2.35842540037633,1.71305240800226,0.125056019602181
"ppt_sept_sqr",-0.344481861108615,3.00156505601845,-0.114767414558579,0.911457722189757
