"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",2150.38353090174,673.941395350562,3.19075745418959,0.0127888154404384
"relevel(as.factor(year), ""1997"")1999",980.912419061379,404.486478696138,2.42508086357633,0.0415196551899489
"relevel(as.factor(year), ""1997"")2000",1034.85216533595,653.781990613014,1.58287040664064,0.152108836362362
"relevel(as.factor(year), ""1997"")2001",716.575267350354,644.428856423523,1.11195403527898,0.298454045140316
"relevel(as.factor(year), ""1997"")2002",711.259669176956,380.140258475043,1.87104536633457,0.09824900623152
"relevel(as.factor(year), ""1997"")2003",-45.921405450757,573.834175438703,-0.0800255673438229,0.938182602292507
"relevel(as.factor(year), ""1997"")2004",855.929913674897,574.914807795259,1.48879434321287,0.174865440502332
"relevel(as.factor(year), ""1997"")2005",1110.48557798067,335.433259650348,3.31060068145369,0.0106886418721022
"relevel(as.factor(year), ""1997"")2006",423.903018820874,717.561474842998,0.590754985715507,0.570992783873344
"relevel(as.factor(year), ""1997"")2007",1955.85285318264,855.702140973604,2.28567016433697,0.0516125020897108
"relevel(as.factor(year), ""1997"")2008",115.631206162308,112.989461711462,1.02338044991835,0.336074566323202
"relevel(as.factor(year), ""1997"")2009",258.904787876827,474.283653859849,0.545885960373693,0.600031360292207
"relevel(as.factor(year), ""1997"")2010",1666.33143274852,844.247896451537,1.97374662081159,0.0838562206439198
"relevel(as.factor(year), ""1997"")2011",768.191592450911,657.160666091864,1.16895552653714,0.276071076122411
"relevel(as.factor(year), ""1997"")2012",1396.37465529489,509.349410163255,2.74148674256309,0.0253908110350958
"relevel(as.factor(year), ""1997"")2013",1514.73525483812,450.784053136605,3.36022369091902,0.00992848990752469
"relevel(as.factor(year), ""1997"")2014",714.096654520263,701.358902506721,1.0181615318035,0.338401071951346
"relevel(as.factor(year), ""1997"")2015",2274.61966799126,433.265308091885,5.2499464543071,0.00077388495176609
"relevel(as.factor(year), ""1997"")2016",2178.82617749845,524.840003535759,4.15141026373763,0.00320276291411354
"relevel(as.factor(year), ""1997"")2017",1227.06501580851,139.599852476875,8.78987329884018,2.2038727755584e-05
"relevel(as.factor(year), ""1997"")2018",3101.24773548779,794.299405800505,3.90438128599922,0.00451666766455863
"relevel(as.factor(year), ""1997"")2019",2830.37673976213,616.288205614785,4.59261870335268,0.0017724812144119
"relevel(as.factor(year), ""1997"")2020",1550.58020992072,720.630500530608,2.1516993921004,0.06360667547377
"GETrue",-302.907139134344,54.0119119496489,-5.60815435337155,0.000505418808453532
"height",-4.24166634852909,3.46143459717249,-1.22540704712258,0.255271907839264
"lodging_comb",37.0425028164894,32.0954946437643,1.15413403742903,0.281755938267763
"height_d",-17.7585121539012,16.4757194264226,-1.07785958805667,0.312521186256165
"lodging_comb_d",-17.1307780901765,76.9319805832878,-0.222674341155568,0.829368969194819
"seed_treated",19.6764616885076,8.78672067333684,2.23934075294045,0.0554824890241069
"scn_resist",16.6760288597501,32.1267498411495,0.519069901007872,0.617761982761492
"tmin_5",219610.248888737,218324.315977144,1.00589001232335,0.343920176913026
"tmin_6",433747.708694032,271562.96166895,1.59722705198213,0.148882107722101
"tmin_7",-377649.704003121,147510.035651945,-2.5601627871218,0.0336384495998179
"tmin_8",386736.316170455,263038.823062948,1.47026325493368,0.179691840792201
"tmin_9",-179859.371408785,205970.038025937,-0.873230753038631,0.407983092677279
"tmax_5",219474.774316988,218290.878436657,1.00542347847427,0.344131349620006
"tmax_6",433819.016308106,271677.71473271,1.5968148757984,0.148973870525477
"tmax_7",-377705.4173481,147510.535898734,-2.56053179555523,0.0336191415426716
"tmax_8",387014.75611053,263062.608949726,1.47118877006383,0.179448011344623
"tmax_9",-179945.129047664,206000.926437958,-0.873516115481449,0.407836599979028
"tmean_5",-439280.625259783,436592.410319608,-1.00615726447972,0.343799252000056
"tmean_6",-867559.708304756,543251.454094069,-1.59697632057241,0.148937921929095
"tmean_7",755246.683961216,295080.025267062,2.55946393957938,0.0336750471351081
"tmean_8",-773825.307002793,526051.720856961,-1.47100613175868,0.179496104621508
"tmean_9",359527.377763507,411914.827832465,0.872819703178383,0.408194173752238
"ppt_may",33.9140175091142,53.2031521464113,0.637443763027146,0.541645138756564
"ppt_june",-58.2943988432643,44.4347396476558,-1.31191044001852,0.225943035722775
"ppt_july",117.024851161121,26.6524364019818,4.39077498942719,0.00231514464222034
"ppt_aug",-34.0850200052675,31.5175377940412,-1.08146201736963,0.311010531795441
"ppt_sept",-14.9151095377664,38.1393125820455,-0.391069175819069,0.705955085661154
"ppt_may_sqr",-6.49627581620553,3.80647109701404,-1.7066399955858,0.126276945325617
"ppt_june_sqr",3.12146796960036,2.99484946411413,1.0422787545763,0.32775303670498
"ppt_july_sqr",-8.28205775988078,2.48278710577729,-3.33579054789231,0.0102953732024984
"ppt_aug_sqr",4.10619135849158,2.33566990977113,1.75803581718186,0.116795593449935
"ppt_sept_sqr",-0.500532148677871,3.01867997090079,-0.165811597619773,0.872418978718777
