"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",802.6852221565,851.914200399522,0.942213689805927,0.373661593449922
"relevel(as.factor(year), ""1997"")1999",669.604986662977,585.931699104113,1.14280382455293,0.286165439156478
"relevel(as.factor(year), ""1997"")2000",331.414491569285,656.826851476423,0.504569036458128,0.627463183849636
"relevel(as.factor(year), ""1997"")2001",-167.54875783215,495.27214788368,-0.338296345853675,0.743846929768509
"relevel(as.factor(year), ""1997"")2002",714.832553718022,230.447251091757,3.10193569387989,0.0146228543098114
"relevel(as.factor(year), ""1997"")2003",-454.775889763965,437.668459519462,-1.03908764699034,0.329146876846901
"relevel(as.factor(year), ""1997"")2004",848.463351102951,691.82372792939,1.2264155114228,0.254912469518158
"relevel(as.factor(year), ""1997"")2005",958.565848079493,304.744887854976,3.14546982174697,0.0136917351859284
"relevel(as.factor(year), ""1997"")2006",53.4963865449134,436.733930644144,0.122491940266722,0.905530669064581
"relevel(as.factor(year), ""1997"")2007",537.04597632732,846.94753597668,0.634095919185846,0.543719281439609
"relevel(as.factor(year), ""1997"")2008",459.027447758543,348.468103567512,1.31727249369213,0.224223135244628
"relevel(as.factor(year), ""1997"")2009",-55.61520603647,868.592825290777,-0.0640290875276938,0.950518062833611
"relevel(as.factor(year), ""1997"")2010",1167.14189540215,634.988684956095,1.83805148509513,0.103353716885718
"relevel(as.factor(year), ""1997"")2011",447.162246723422,381.712258932583,1.17146420178871,0.275118167270854
"relevel(as.factor(year), ""1997"")2012",837.881150739834,390.902861510481,2.14345105457195,0.0644291774796999
"relevel(as.factor(year), ""1997"")2013",1110.26870551312,644.819588543965,1.72182843889741,0.123402855482041
"relevel(as.factor(year), ""1997"")2014",-94.8956046049666,956.379283311909,-0.0992238186886967,0.923401867404864
"relevel(as.factor(year), ""1997"")2015",1366.68239418727,818.513185606165,1.66971335125793,0.133525700295265
"relevel(as.factor(year), ""1997"")2016",1563.40275990089,745.182145459178,2.0980142498416,0.0691507877338377
"relevel(as.factor(year), ""1997"")2017",1334.84075906067,448.695300750136,2.97493813023907,0.0177369157036662
"relevel(as.factor(year), ""1997"")2018",1130.80056399329,1024.24990862667,1.10402798620649,0.301678501644703
"relevel(as.factor(year), ""1997"")2019",4460.03185014792,530.376740015556,8.40917693716565,3.04418832387026e-05
"relevel(as.factor(year), ""1997"")2020",3891.60076434835,548.942859676001,7.08926383821673,0.000103080642762793
"height",-0.580248924019279,3.06824099115995,-0.189114520564408,0.854712811728972
"lodging_comb",-2.80752421495766,27.2818204158469,-0.102908243370992,0.920568657167762
"height_j",-25.4765597851762,10.2539185830844,-2.48456817544896,0.0378412428831054
"lodging_comb_j",82.2324753711696,95.3013519509521,0.862867878448267,0.413328344706285
"seed_treated",21.7298486303557,8.87410054351753,2.44868181555923,0.0400189178931106
"scn_resist",23.027069938287,32.8130054926346,0.701766558490224,0.502726171596886
"tmin_5",344678.784993787,242912.233154722,1.41894370866965,0.193679317129934
"tmin_6",367336.645058288,200966.542782179,1.82784975037578,0.104982387076056
"tmin_7",98597.3873593507,151243.745180313,0.65191051201359,0.532736892302471
"tmin_8",1147063.16295502,225096.917687353,5.09586348289421,0.000934613696664765
"tmin_9",221937.137046762,185315.622103101,1.1976169873217,0.265343404098137
"tmax_5",344761.846176302,242875.467336272,1.41950049528454,0.193522560718742
"tmax_6",367254.250341342,200910.283067641,1.82795148527911,0.104966026112257
"tmax_7",98836.1740512296,151247.776119892,0.653471915996198,0.531780743743427
"tmax_8",1147071.46507347,225098.466091065,5.09586531171391,0.000934611584763748
"tmax_9",221748.246039951,185243.488372057,1.19706364843754,0.265547223586102
"tmean_5",-689425.491444476,485725.39628798,-1.41937295581663,0.193558458055333
"tmean_6",-734611.030850653,401826.373995897,-1.82818022506943,0.10492924909272
"tmean_7",-197558.965596789,302552.213280527,-0.652974782285304,0.532085057896606
"tmean_8",-2294023.2189055,450256.968077215,-5.09491997137089,0.000935703949129563
"tmean_9",-443976.994664905,370544.736169106,-1.19817380015968,0.265138435023343
"ppt_may",169.060321349323,61.6337452100705,2.7429830975402,0.0253321501502638
"ppt_june",-50.1004069706092,24.1954656698155,-2.07065272701533,0.0721558563967856
"ppt_july",-7.84129056814608,26.9267362025053,-0.291208355486341,0.778299499854746
"ppt_aug",-41.5935204718778,21.2553924212487,-1.95684556876482,0.0860767534219499
"ppt_sept",-36.2821811892841,33.8567453333968,-1.07163818707331,0.315143687602638
"ppt_may_sqr",-17.1769055482,5.85380607419482,-2.93431407369652,0.0188731222123794
"ppt_june_sqr",5.30390624138652,2.31509878520554,2.29100644658479,0.051184377778637
"ppt_july_sqr",4.39371299109122,2.91192364022672,1.50886957693339,0.169767576585669
"ppt_aug_sqr",5.8607120194629,1.82552693101701,3.21042210875403,0.0124164271448146
"ppt_sept_sqr",3.48736275822022,2.17396458144926,1.6041488384762,0.147348789314019
