"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",838.92234346398,836.488563574299,1.00290951962246,0.345270975995647
"relevel(as.factor(year), ""1997"")1999",672.584299572162,545.054498454759,1.23397623811739,0.252231047972793
"relevel(as.factor(year), ""1997"")2000",369.608633129153,659.513495777131,0.560426186114097,0.590533684463387
"relevel(as.factor(year), ""1997"")2001",-44.4690755946533,481.628029737004,-0.0923307466530467,0.92870552241714
"relevel(as.factor(year), ""1997"")2002",896.924885983012,223.029470905365,4.02155321600343,0.0038328572576231
"relevel(as.factor(year), ""1997"")2003",-401.643844092023,463.705410433505,-0.866161651460003,0.411624031524605
"relevel(as.factor(year), ""1997"")2004",886.597073620876,668.747060049675,1.32575846173442,0.221524085453224
"relevel(as.factor(year), ""1997"")2005",979.209929091236,320.550224043815,3.05477848911873,0.0157066269967036
"relevel(as.factor(year), ""1997"")2006",34.8766466273083,487.311141556157,0.0715695654237143,0.9447013426858
"relevel(as.factor(year), ""1997"")2007",378.441684785184,882.634046747589,0.428763977754655,0.679406632980095
"relevel(as.factor(year), ""1997"")2008",35.7926486206914,337.952733209356,0.105910220878487,0.918261118157072
"relevel(as.factor(year), ""1997"")2009",-195.052365473509,843.808647588294,-0.231157106567931,0.822995134849782
"relevel(as.factor(year), ""1997"")2010",820.131845815634,615.676252717731,1.33208296112671,0.219530643794036
"relevel(as.factor(year), ""1997"")2011",158.128204892297,420.094997512207,0.37641058767357,0.716398572112078
"relevel(as.factor(year), ""1997"")2012",740.384982510221,449.689912814252,1.64643449055092,0.13829100103272
"relevel(as.factor(year), ""1997"")2013",910.833866825773,630.384031448045,1.44488727725782,0.186492613494857
"relevel(as.factor(year), ""1997"")2014",-181.044900612816,953.65076990776,-0.189844025009624,0.854159869189162
"relevel(as.factor(year), ""1997"")2015",1156.22156583208,795.406670234856,1.45362317051061,0.184126122772617
"relevel(as.factor(year), ""1997"")2016",1461.24540699387,764.792367894304,1.91064329135122,0.0924394965165541
"relevel(as.factor(year), ""1997"")2017",1359.01087869757,456.859744411867,2.97467854263912,0.0177439456523836
"relevel(as.factor(year), ""1997"")2018",1209.84424095743,1016.28402610565,1.19045877912053,0.267990052053977
"relevel(as.factor(year), ""1997"")2019",4406.45190469722,543.357742343084,8.10966985709191,3.9586155532447e-05
"relevel(as.factor(year), ""1997"")2020",3685.52601110122,531.316122045336,6.93659736300406,0.000120022996285575
