"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",-869.501687798576,388.307835762752,-2.23920716431234,0.0407230351308323
"relevel(as.factor(year), ""1997"")1999",-586.799531173543,673.525987584453,-0.871235174277466,0.397355935456205
"relevel(as.factor(year), ""1997"")2000",-173.800923773291,366.95418295907,-0.473631128474359,0.642582763897181
"relevel(as.factor(year), ""1997"")2001",167.156733386019,464.930360286133,0.359530690323483,0.724209431357342
"relevel(as.factor(year), ""1997"")2002",-382.106704570702,180.34716811456,-2.11872860863543,0.0512157290939262
"relevel(as.factor(year), ""1997"")2003",309.471112317375,512.44720303787,0.603908286517675,0.554928692567794
"relevel(as.factor(year), ""1997"")2004",-184.186462631469,472.840288872354,-0.389532082959181,0.702357266141414
"relevel(as.factor(year), ""1997"")2005",-236.564243295553,389.270439893708,-0.607711809199146,0.552468840237572
"relevel(as.factor(year), ""1997"")2006",308.791019924343,392.567233263231,0.786593973616966,0.443770027813925
"relevel(as.factor(year), ""1997"")2007",172.718619476442,539.895715683486,0.319911076267363,0.753448397633269
"relevel(as.factor(year), ""1997"")2008",242.585717892321,220.799402735121,1.09867017250647,0.289234369867524
"relevel(as.factor(year), ""1997"")2009",795.438225597846,398.470389311598,1.99622919778821,0.0643929489523813
"relevel(as.factor(year), ""1997"")2010",-228.648771811375,343.133871805184,-0.666354419074055,0.515303341758473
"relevel(as.factor(year), ""1997"")2011",90.6449586477061,382.541443536532,0.23695461022395,0.815897635619719
"relevel(as.factor(year), ""1997"")2012",-863.410179184966,924.627562633663,-0.933792387418856,0.365200172005711
"relevel(as.factor(year), ""1997"")2013",240.357535668978,326.001743989989,0.737289109951383,0.47232283025686
"relevel(as.factor(year), ""1997"")2014",1101.67211413043,482.197643178637,2.28468996005089,0.0373112093386209
"relevel(as.factor(year), ""1997"")2015",-348.137203973419,417.10745691767,-0.834646320030034,0.417012273406382
"relevel(as.factor(year), ""1997"")2016",-139.472122850379,423.320747955562,-0.329471502457564,0.746355078717989
"relevel(as.factor(year), ""1997"")2017",-775.773134946073,452.268865442248,-1.71529192969648,0.106869082456716
"relevel(as.factor(year), ""1997"")2018",262.946763795817,659.19785652389,0.398888984837419,0.695595996358651
"relevel(as.factor(year), ""1997"")2019",-622.049354035912,801.962357767683,-0.775659041862549,0.450007291670456
"relevel(as.factor(year), ""1997"")2020",280.48322611922,749.330627195391,0.374311706928379,0.71341093495441
"height",4.69769532632054,4.47392920334219,1.05001557083451,0.310334587090224
"lodging_comb",-108.184903374619,19.4531150516573,-5.56131514604917,5.44399583463392e-05
"height_w",-36.5792202008661,8.9061063604558,-4.10720675460179,0.000932536019699056
"lodging_comb_w",234.056803021831,79.1267596899172,2.95799807725042,0.00977324105760397
"seed_treated",1.03098604305674,6.65706300472094,0.154871005776212,0.878987710482216
"scn_resist",72.8785954980917,19.8364729003412,3.67396945335166,0.0022562515509011
"tmin_5",-258081.738320792,338207.160057045,-0.763087742664176,0.457245252721367
"tmin_6",189611.966018229,414192.279206276,0.457787302026939,0.653666538027663
"tmin_7",-26628.9185331016,293847.474107026,-0.0906215668997131,0.928992349538039
"tmin_8",-35155.932694762,216822.604594516,-0.162141455502334,0.873358429290649
"tmin_9",-173926.167457905,276579.20543766,-0.628847592438063,0.538907970879784
"tmax_5",-258240.729097928,338230.729661579,-0.763504632935966,0.457004076266531
"tmax_6",189700.506806434,414221.819069719,0.457968407440423,0.65353935931967
"tmax_7",-26641.6021225267,293854.009828303,-0.090662714244033,0.928960202092792
"tmax_8",-35167.6899894375,216760.846989187,-0.162241892287826,0.873280712981235
"tmax_9",-173843.395868284,276662.482399435,-0.628359126834173,0.539219286976953
"tmean_5",516375.38043533,676412.952995861,0.763402560740864,0.457063119076529
"tmean_6",-379357.707715147,828473.864159359,-0.457899427038747,0.653587798520308
"tmean_7",53470.1319184984,587740.590354491,0.0909757345264318,0.928715650952192
"tmean_8",70272.088049763,433511.42418366,0.162099737468491,0.873390710405595
"tmean_9",347907.140766906,553281.50344666,0.628806744125049,0.538934001121843
"ppt_may",-12.5177821614914,34.2306572123356,-0.36568921490004,0.719702710543185
"ppt_june",54.6831977289605,49.8654427900085,1.09661510395567,0.290103550440747
"ppt_july",39.4436597361218,34.9059515251673,1.12999812389251,0.276223233048408
"ppt_aug",81.73887055435,36.5973514460953,2.23346409848112,0.0411739917676468
"ppt_sept",14.916011996484,24.7800891357525,0.601935364912116,0.556206961883679
"ppt_may_sqr",0.359798676198061,3.37179789346569,0.106708257008917,0.916434512449388
"ppt_june_sqr",-4.06541646868877,4.09727857656553,-0.992223592494054,0.336825597758077
"ppt_july_sqr",-3.03947417507594,3.74569635821489,-0.811457706231287,0.429791784912699
"ppt_aug_sqr",-7.530716354636,3.52318744012635,-2.13747252526704,0.0494337299005334
"ppt_sept_sqr",0.654238901139084,1.75830160927107,0.372085709123766,0.715033195975932
