"","Estimate","Cluster s.e.","t value","Pr(>|t|)"
"relevel(as.factor(year), ""1997"")1998",-823.019520482727,394.2224680728,-2.08770323139153,0.0542959067573919
"relevel(as.factor(year), ""1997"")1999",-789.262466949794,672.738092668183,-1.17320912187306,0.259005821568444
"relevel(as.factor(year), ""1997"")2000",-103.02325772365,380.042968364233,-0.27108318348075,0.790022000320667
"relevel(as.factor(year), ""1997"")2001",134.851745884366,469.888427042402,0.286986735836754,0.778048829064566
"relevel(as.factor(year), ""1997"")2002",-479.647277273184,202.973562515659,-2.36310222537568,0.0320507418072476
"relevel(as.factor(year), ""1997"")2003",331.881088437925,502.889331904241,0.659948556039605,0.519292561052851
"relevel(as.factor(year), ""1997"")2004",-191.065981231486,420.656090528619,-0.45420947309091,0.656181287587012
"relevel(as.factor(year), ""1997"")2005",-221.166118888385,388.417666196001,-0.569402831375805,0.577510857181633
"relevel(as.factor(year), ""1997"")2006",153.124978194748,372.604991579058,0.410957935764148,0.686914336290342
"relevel(as.factor(year), ""1997"")2007",-178.581238245622,507.061131528315,-0.352188773979513,0.729595934235793
"relevel(as.factor(year), ""1997"")2008",-25.3286035171021,223.199124500457,-0.113479851562098,0.911155035222954
"relevel(as.factor(year), ""1997"")2009",671.758696453378,393.735968834665,1.7061146291551,0.10859965443361
"relevel(as.factor(year), ""1997"")2010",-283.225147301279,364.290044509161,-0.777471554796105,0.448969664095506
"relevel(as.factor(year), ""1997"")2011",-70.0738749562639,411.25671567426,-0.170389618662827,0.866980701730923
"relevel(as.factor(year), ""1997"")2012",-1028.5051062826,960.806554870804,-1.07046012651412,0.301335218780061
"relevel(as.factor(year), ""1997"")2013",127.330273170895,326.35824600427,0.390154913288844,0.701906395107501
"relevel(as.factor(year), ""1997"")2014",1022.16120582042,476.637797025117,2.14452402264389,0.0487782910868134
"relevel(as.factor(year), ""1997"")2015",-542.931008418181,426.084687104683,-1.27423262287948,0.221969360736465
"relevel(as.factor(year), ""1997"")2016",-248.320328971766,473.227688660108,-0.524737531049499,0.607434452148623
"relevel(as.factor(year), ""1997"")2017",-748.482734889735,477.518923383227,-1.56744099183908,0.137861705728721
"relevel(as.factor(year), ""1997"")2018",265.777870208255,677.535623160013,0.392271433594403,0.700375097296028
"relevel(as.factor(year), ""1997"")2019",-660.737930723854,791.581456289704,-0.834706176444381,0.416979608267912
"relevel(as.factor(year), ""1997"")2020",126.305054912567,781.221191199769,0.161676432149252,0.873718274156675
"GETrue",192.860293243746,77.8017869985437,2.47886714025419,0.0255485539390836
"height",0.6257064972846,3.88966756592254,0.160863746497626,0.874347216552012
"lodging_comb",-88.6674111409233,27.2924656466433,-3.24878713007846,0.00539670220964741
"height_w",-34.5355437675693,8.87882814441804,-3.88965111226769,0.00145155200994973
"lodging_comb_w",220.884105608526,72.3893799296589,3.05133302458399,0.00808146431724798
"seed_treated",-2.77828696729421,5.22899907118162,-0.531322903193093,0.602974816170869
"scn_resist",64.3921321039011,19.5588236973775,3.29222928230264,0.00493694119650729
"tmin_5",-262103.976796113,339853.222037591,-0.771226988005786,0.452550858341568
"tmin_6",192738.258022514,413750.618896005,0.465831950987265,0.648028042434246
"tmin_7",-31828.9295687994,291956.006921887,-0.10901960848271,0.914631996020197
"tmin_8",-45962.8172192347,217307.519238668,-0.211510477779436,0.835335854864019
"tmin_9",-194291.82075623,274166.921479225,-0.7086625173743,0.489401895042049
"tmax_5",-262261.535475491,339877.457780595,-0.771635568854914,0.452315998623482
"tmax_6",192827.213164168,413780.618375635,0.466013159149753,0.647901287895961
"tmax_7",-31845.9263363004,291963.234743317,-0.109075125038597,0.914588707130521
"tmax_8",-45967.8075498663,217247.991917593,-0.211591403649443,0.835273847406863
"tmax_9",-194205.135694486,274245.029562408,-0.708144596109414,0.489714241044782
"tmean_5",524411.502245229,679703.972535671,0.771529258963846,0.452377100176471
"tmean_6",-385604.503370726,827589.633967688,-0.465936845441181,0.647954667722914
"tmean_7",63879.6847559311,583957.471385952,0.109390988018906,0.914342419116298
"tmean_8",91878.7763574447,434484.22022057,0.211466313577054,0.835369695073796
"tmean_9",388631.725052357,548451.879228522,0.708597672413894,0.489440995018417
"ppt_may",-16.0231524776798,33.8010607833738,-0.474042888191289,0.642295863028474
"ppt_june",54.569155166966,49.8556839733451,1.09454230326357,0.290982192336081
"ppt_july",39.0977508361555,35.0033001527607,1.11697327582045,0.281578392543618
"ppt_aug",83.2648913531253,36.3067192092488,2.2933741513035,0.0366909925444615
"ppt_sept",15.6013643327075,25.1633146680822,0.620004341180722,0.544559425554458
"ppt_may_sqr",0.596243825932623,3.26157454147088,0.182808584734579,0.857396111985906
"ppt_june_sqr",-4.06284703563356,4.08678540310847,-0.994142494622618,0.33592094497044
"ppt_july_sqr",-3.03220384300801,3.73841431645377,-0.81109357774029,0.42999444315074
"ppt_aug_sqr",-7.67443991813624,3.46436555356683,-2.21525119086663,0.042635088295447
"ppt_sept_sqr",0.623372756622164,1.78082437354757,0.350047296006146,0.731169851607746
"relevel(as.factor(year), ""1997"")1998:GETrue",-448.154994721847,101.083590551499,-4.43350886406754,0.000483383974343819
"relevel(as.factor(year), ""1997"")1999:GETrue",124.305715254002,152.952117816874,0.812709997273987,0.429095280678353
"relevel(as.factor(year), ""1997"")2000:GETrue",-256.711265548548,112.583905739299,-2.28017729410625,0.0376373660819167
"relevel(as.factor(year), ""1997"")2001:GETrue",-117.003977086081,82.6138458736781,-1.41627563574498,0.177125711095431
"relevel(as.factor(year), ""1997"")2002:GETrue",-88.0373797110338,110.00163595224,-0.800327912843567,0.436013758775339
"relevel(as.factor(year), ""1997"")2003:GETrue",-194.354060534492,101.631033939364,-1.91234953538355,0.0751220422053565
"relevel(as.factor(year), ""1997"")2004:GETrue",-124.635653513028,61.8265960825713,-2.01589059418011,0.0620883097624168
"relevel(as.factor(year), ""1997"")2005:GETrue",-214.476240180069,100.16668446215,-2.14119336515639,0.0490868693458871
"relevel(as.factor(year), ""1997"")2006:GETrue",16.5773249821992,113.453134849241,0.14611605932465,0.885775326760523
"relevel(as.factor(year), ""1997"")2007:GETrue",249.417398381844,123.838533908421,2.01405322325835,0.062300453717711
"relevel(as.factor(year), ""1997"")2008:GETrue",101.262508515046,88.2375357854359,1.14761260742007,0.269103326712163
"relevel(as.factor(year), ""1997"")2009:GETrue",-15.4555092624807,78.7387558182367,-0.19628846178569,0.847018969957323
"relevel(as.factor(year), ""1997"")2010:GETrue",-113.612863474639,100.611055046717,-1.12922842745148,0.276537551355473
"relevel(as.factor(year), ""1997"")2011:GETrue",15.5183626752811,176.32479804285,0.0880100975445886,0.931032887657217
"relevel(as.factor(year), ""1997"")2012:GETrue",22.8029404833347,128.901531445412,0.176902013712626,0.861951836535572
"relevel(as.factor(year), ""1997"")2013:GETrue",7.75563490370869,142.516017542453,0.0544193911494783,0.957319230101207
"relevel(as.factor(year), ""1997"")2014:GETrue",-16.2668161697839,112.418532744199,-0.144698705566617,0.886875070585644
"relevel(as.factor(year), ""1997"")2015:GETrue",149.395311016256,138.349507883602,1.07983984404157,0.297271085182843
"relevel(as.factor(year), ""1997"")2016:GETrue",-18.7480106294972,135.598695174971,-0.138260995840009,0.89187316605912
